"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"Greedy","46","MCTS LP (C = 3.0)","50","MCTS LP (C = 3.0)"
"Greedy","47","MCTS LP (C = 3.0)","45","Greedy"
"Greedy","35","MCTS LP (C = 3.0)","63","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","51","MCTS LP (C = 3.0)"
"Greedy","43","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","45","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","60","MCTS LP (C = 3.0)","33","Greedy"
"Greedy","39","MCTS LP (C = 3.0)","56","MCTS LP (C = 3.0)"
"Greedy","39","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","47","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","44","MCTS LP (C = 3.0)","51","MCTS LP (C = 3.0)"
"Greedy","43","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","46","MCTS LP (C = 3.0)","48","MCTS LP (C = 3.0)"
"Greedy","42","MCTS LP (C = 3.0)","55","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","53","MCTS LP (C = 3.0)"
"Greedy","36","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","53","MCTS LP (C = 3.0)"
"Greedy","38","MCTS LP (C = 3.0)","41","MCTS LP (C = 3.0)"
"Greedy","42","MCTS LP (C = 3.0)","51","MCTS LP (C = 3.0)"
"Greedy","38","MCTS LP (C = 3.0)","43","MCTS LP (C = 3.0)"
"Greedy","48","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","39","MCTS LP (C = 3.0)","54","MCTS LP (C = 3.0)"
"Greedy","37","MCTS LP (C = 3.0)","43","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","48","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","53","MCTS LP (C = 3.0)"
"Greedy","45","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","38","MCTS LP (C = 3.0)","50","MCTS LP (C = 3.0)"
"Greedy","46","MCTS LP (C = 3.0)","47","MCTS LP (C = 3.0)"
"Greedy","45","MCTS LP (C = 3.0)","50","MCTS LP (C = 3.0)"
"Greedy","46","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","45","MCTS LP (C = 3.0)","51","MCTS LP (C = 3.0)"
"Greedy","38","MCTS LP (C = 3.0)","57","MCTS LP (C = 3.0)"
"Greedy","43","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","37","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","58","MCTS LP (C = 3.0)"
"Greedy","47","MCTS LP (C = 3.0)","47","Tie"
"Greedy","38","MCTS LP (C = 3.0)","58","MCTS LP (C = 3.0)"
"Greedy","45","MCTS LP (C = 3.0)","50","MCTS LP (C = 3.0)"
"Greedy","43","MCTS LP (C = 3.0)","47","MCTS LP (C = 3.0)"
"Greedy","35","MCTS LP (C = 3.0)","55","MCTS LP (C = 3.0)"
"Greedy","43","MCTS LP (C = 3.0)","48","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","56","MCTS LP (C = 3.0)"
"Greedy","45","MCTS LP (C = 3.0)","50","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","55","MCTS LP (C = 3.0)"
"Greedy","38","MCTS LP (C = 3.0)","58","MCTS LP (C = 3.0)"
"Greedy","35","MCTS LP (C = 3.0)","54","MCTS LP (C = 3.0)"
"Greedy","53","MCTS LP (C = 3.0)","36","Greedy"
"Greedy","45","MCTS LP (C = 3.0)","53","MCTS LP (C = 3.0)"
"Greedy","45","MCTS LP (C = 3.0)","50","MCTS LP (C = 3.0)"
"Greedy","42","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","34","MCTS LP (C = 3.0)","60","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","54","MCTS LP (C = 3.0)"
"Greedy","52","MCTS LP (C = 3.0)","39","Greedy"
"Greedy","37","MCTS LP (C = 3.0)","50","MCTS LP (C = 3.0)"
"Greedy","42","MCTS LP (C = 3.0)","54","MCTS LP (C = 3.0)"
"Greedy","45","MCTS LP (C = 3.0)","54","MCTS LP (C = 3.0)"
"Greedy","43","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","37","MCTS LP (C = 3.0)","56","MCTS LP (C = 3.0)"
"Greedy","43","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","42","MCTS LP (C = 3.0)","47","MCTS LP (C = 3.0)"
"Greedy","33","MCTS LP (C = 3.0)","53","MCTS LP (C = 3.0)"
"Greedy","42","MCTS LP (C = 3.0)","50","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","50","MCTS LP (C = 3.0)"
"Greedy","44","MCTS LP (C = 3.0)","55","MCTS LP (C = 3.0)"
"Greedy","36","MCTS LP (C = 3.0)","54","MCTS LP (C = 3.0)"
"Greedy","42","MCTS LP (C = 3.0)","50","MCTS LP (C = 3.0)"
"Greedy","38","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","32","MCTS LP (C = 3.0)","51","MCTS LP (C = 3.0)"
"Greedy","38","MCTS LP (C = 3.0)","51","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","42","MCTS LP (C = 3.0)"
"Greedy","46","MCTS LP (C = 3.0)","50","MCTS LP (C = 3.0)"
"Greedy","39","MCTS LP (C = 3.0)","53","MCTS LP (C = 3.0)"
"Greedy","38","MCTS LP (C = 3.0)","53","MCTS LP (C = 3.0)"
"Greedy","53","MCTS LP (C = 3.0)","36","Greedy"
"Greedy","44","MCTS LP (C = 3.0)","53","MCTS LP (C = 3.0)"
"Greedy","36","MCTS LP (C = 3.0)","40","MCTS LP (C = 3.0)"
"Greedy","39","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","44","MCTS LP (C = 3.0)","45","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","55","MCTS LP (C = 3.0)"
"Greedy","36","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","44","MCTS LP (C = 3.0)","51","MCTS LP (C = 3.0)"
"Greedy","54","MCTS LP (C = 3.0)","38","Greedy"
"Greedy","44","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","42","MCTS LP (C = 3.0)"
"Greedy","38","MCTS LP (C = 3.0)","44","MCTS LP (C = 3.0)"
"Greedy","51","MCTS LP (C = 3.0)","46","Greedy"
"Greedy","46","MCTS LP (C = 3.0)","47","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","53","MCTS LP (C = 3.0)"
"Greedy","36","MCTS LP (C = 3.0)","42","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","47","MCTS LP (C = 3.0)"
"Greedy","45","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","39","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","42","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","38","MCTS LP (C = 3.0)","60","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","35","MCTS LP (C = 3.0)","55","MCTS LP (C = 3.0)"
"Greedy","39","MCTS LP (C = 3.0)","53","MCTS LP (C = 3.0)"
"Greedy","38","MCTS LP (C = 3.0)","60","MCTS LP (C = 3.0)"
"Greedy","37","MCTS LP (C = 3.0)","57","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","58","MCTS LP (C = 3.0)"
"Greedy","66","MCTS LP (C = 3.0)","28","Greedy"
"Greedy","42","MCTS LP (C = 3.0)","46","MCTS LP (C = 3.0)"
"Greedy","39","MCTS LP (C = 3.0)","47","MCTS LP (C = 3.0)"
"Greedy","35","MCTS LP (C = 3.0)","63","MCTS LP (C = 3.0)"
"Greedy","49","MCTS LP (C = 3.0)","48","Greedy"
"Greedy","42","MCTS LP (C = 3.0)","50","MCTS LP (C = 3.0)"
"Greedy","46","MCTS LP (C = 3.0)","48","MCTS LP (C = 3.0)"
"Greedy","35","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","42","MCTS LP (C = 3.0)","56","MCTS LP (C = 3.0)"
"Greedy","38","MCTS LP (C = 3.0)","44","MCTS LP (C = 3.0)"
"Greedy","42","MCTS LP (C = 3.0)","48","MCTS LP (C = 3.0)"
"Greedy","36","MCTS LP (C = 3.0)","44","MCTS LP (C = 3.0)"
"Greedy","43","MCTS LP (C = 3.0)","50","MCTS LP (C = 3.0)"
"Greedy","46","MCTS LP (C = 3.0)","50","MCTS LP (C = 3.0)"
"Greedy","48","MCTS LP (C = 3.0)","35","Greedy"
"Greedy","44","MCTS LP (C = 3.0)","47","MCTS LP (C = 3.0)"
"Greedy","36","MCTS LP (C = 3.0)","64","MCTS LP (C = 3.0)"
"Greedy","30","MCTS LP (C = 3.0)","61","MCTS LP (C = 3.0)"
"Greedy","37","MCTS LP (C = 3.0)","58","MCTS LP (C = 3.0)"
"Greedy","43","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","38","MCTS LP (C = 3.0)","56","MCTS LP (C = 3.0)"
"Greedy","37","MCTS LP (C = 3.0)","55","MCTS LP (C = 3.0)"
"Greedy","45","MCTS LP (C = 3.0)","53","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","54","MCTS LP (C = 3.0)"
"Greedy","38","MCTS LP (C = 3.0)","51","MCTS LP (C = 3.0)"
"Greedy","44","MCTS LP (C = 3.0)","54","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","55","MCTS LP (C = 3.0)"
"Greedy","35","MCTS LP (C = 3.0)","47","MCTS LP (C = 3.0)"
"Greedy","39","MCTS LP (C = 3.0)","57","MCTS LP (C = 3.0)"
"Greedy","29","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","52","MCTS LP (C = 3.0)","41","Greedy"
"Greedy","43","MCTS LP (C = 3.0)","53","MCTS LP (C = 3.0)"
"Greedy","38","MCTS LP (C = 3.0)","57","MCTS LP (C = 3.0)"
"Greedy","42","MCTS LP (C = 3.0)","48","MCTS LP (C = 3.0)"
"Greedy","51","MCTS LP (C = 3.0)","47","Greedy"
"Greedy","40","MCTS LP (C = 3.0)","50","MCTS LP (C = 3.0)"
"Greedy","52","MCTS LP (C = 3.0)","42","Greedy"
"Greedy","44","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","36","MCTS LP (C = 3.0)","55","MCTS LP (C = 3.0)"
"Greedy","47","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","33","MCTS LP (C = 3.0)","51","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","57","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","53","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","53","MCTS LP (C = 3.0)"
"Greedy","39","MCTS LP (C = 3.0)","58","MCTS LP (C = 3.0)"
"Greedy","39","MCTS LP (C = 3.0)","46","MCTS LP (C = 3.0)"
"Greedy","34","MCTS LP (C = 3.0)","51","MCTS LP (C = 3.0)"
"Greedy","46","MCTS LP (C = 3.0)","50","MCTS LP (C = 3.0)"
"Greedy","37","MCTS LP (C = 3.0)","61","MCTS LP (C = 3.0)"
"Greedy","46","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","34","MCTS LP (C = 3.0)","45","MCTS LP (C = 3.0)"
"Greedy","36","MCTS LP (C = 3.0)","46","MCTS LP (C = 3.0)"
"Greedy","47","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","44","MCTS LP (C = 3.0)","48","MCTS LP (C = 3.0)"
"Greedy","38","MCTS LP (C = 3.0)","59","MCTS LP (C = 3.0)"
"Greedy","42","MCTS LP (C = 3.0)","57","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","59","MCTS LP (C = 3.0)"
"Greedy","46","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","56","MCTS LP (C = 3.0)"
"Greedy","37","MCTS LP (C = 3.0)","53","MCTS LP (C = 3.0)"
"Greedy","51","MCTS LP (C = 3.0)","48","Greedy"
"Greedy","38","MCTS LP (C = 3.0)","55","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","47","MCTS LP (C = 3.0)"
"Greedy","34","MCTS LP (C = 3.0)","47","MCTS LP (C = 3.0)"
"Greedy","42","MCTS LP (C = 3.0)","44","MCTS LP (C = 3.0)"
"Greedy","33","MCTS LP (C = 3.0)","63","MCTS LP (C = 3.0)"
"Greedy","44","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","56","MCTS LP (C = 3.0)"
"Greedy","39","MCTS LP (C = 3.0)","60","MCTS LP (C = 3.0)"
"Greedy","37","MCTS LP (C = 3.0)","51","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","48","MCTS LP (C = 3.0)"
"Greedy","39","MCTS LP (C = 3.0)","55","MCTS LP (C = 3.0)"
"Greedy","43","MCTS LP (C = 3.0)","50","MCTS LP (C = 3.0)"
"Greedy","44","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","37","MCTS LP (C = 3.0)","56","MCTS LP (C = 3.0)"
"Greedy","44","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","37","MCTS LP (C = 3.0)","54","MCTS LP (C = 3.0)"
"Greedy","42","MCTS LP (C = 3.0)","57","MCTS LP (C = 3.0)"
"Greedy","53","MCTS LP (C = 3.0)","43","Greedy"
"Greedy","32","MCTS LP (C = 3.0)","60","MCTS LP (C = 3.0)"
"Greedy","45","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","43","MCTS LP (C = 3.0)","54","MCTS LP (C = 3.0)"
"Greedy","36","MCTS LP (C = 3.0)","57","MCTS LP (C = 3.0)"
"Greedy","35","MCTS LP (C = 3.0)","57","MCTS LP (C = 3.0)"
"Greedy","34","MCTS LP (C = 3.0)","65","MCTS LP (C = 3.0)"
"Greedy","36","MCTS LP (C = 3.0)","48","MCTS LP (C = 3.0)"
"Greedy","45","MCTS LP (C = 3.0)","43","Greedy"
"Greedy","44","MCTS LP (C = 3.0)","54","MCTS LP (C = 3.0)"
"Greedy","44","MCTS LP (C = 3.0)","53","MCTS LP (C = 3.0)"
"Greedy","42","MCTS LP (C = 3.0)","51","MCTS LP (C = 3.0)"
"Greedy","37","MCTS LP (C = 3.0)","48","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","46","MCTS LP (C = 3.0)"
"Greedy","46","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","42","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","45","MCTS LP (C = 3.0)","47","MCTS LP (C = 3.0)"
"Greedy","44","MCTS LP (C = 3.0)","45","MCTS LP (C = 3.0)"
"Greedy","45","MCTS LP (C = 3.0)","53","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","39","MCTS LP (C = 3.0)","51","MCTS LP (C = 3.0)"
"Greedy","44","MCTS LP (C = 3.0)","46","MCTS LP (C = 3.0)"
"Greedy","36","MCTS LP (C = 3.0)","48","MCTS LP (C = 3.0)"
"Greedy","46","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","54","MCTS LP (C = 3.0)","44","Greedy"
"Greedy","49","MCTS LP (C = 3.0)","44","Greedy"
"Greedy","43","MCTS LP (C = 3.0)","51","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","54","MCTS LP (C = 3.0)"
"Greedy","39","MCTS LP (C = 3.0)","53","MCTS LP (C = 3.0)"
"Greedy","44","MCTS LP (C = 3.0)","47","MCTS LP (C = 3.0)"
"Greedy","54","MCTS LP (C = 3.0)","39","Greedy"
"Greedy","35","MCTS LP (C = 3.0)","56","MCTS LP (C = 3.0)"
"Greedy","53","MCTS LP (C = 3.0)","47","Greedy"
"Greedy","47","MCTS LP (C = 3.0)","44","Greedy"
"Greedy","43","MCTS LP (C = 3.0)","50","MCTS LP (C = 3.0)"
"Greedy","42","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","44","MCTS LP (C = 3.0)","50","MCTS LP (C = 3.0)"
"Greedy","39","MCTS LP (C = 3.0)","60","MCTS LP (C = 3.0)"
"Greedy","42","MCTS LP (C = 3.0)","58","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","53","MCTS LP (C = 3.0)"
"Greedy","38","MCTS LP (C = 3.0)","44","MCTS LP (C = 3.0)"
"Greedy","44","MCTS LP (C = 3.0)","46","MCTS LP (C = 3.0)"
"Greedy","39","MCTS LP (C = 3.0)","47","MCTS LP (C = 3.0)"
"Greedy","39","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","56","MCTS LP (C = 3.0)"
"Greedy","44","MCTS LP (C = 3.0)","54","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","46","MCTS LP (C = 3.0)","53","MCTS LP (C = 3.0)"
"Greedy","43","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","47","MCTS LP (C = 3.0)"
"Greedy","32","MCTS LP (C = 3.0)","63","MCTS LP (C = 3.0)"
"Greedy","39","MCTS LP (C = 3.0)","60","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","33","MCTS LP (C = 3.0)","53","MCTS LP (C = 3.0)"
"Greedy","39","MCTS LP (C = 3.0)","44","MCTS LP (C = 3.0)"
"Greedy","42","MCTS LP (C = 3.0)","53","MCTS LP (C = 3.0)"
"Greedy","45","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","50","MCTS LP (C = 3.0)"
"Greedy","35","MCTS LP (C = 3.0)","55","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","45","MCTS LP (C = 3.0)"
"Greedy","36","MCTS LP (C = 3.0)","60","MCTS LP (C = 3.0)"
"Greedy","47","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","38","MCTS LP (C = 3.0)","55","MCTS LP (C = 3.0)"
"Greedy","43","MCTS LP (C = 3.0)","44","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","47","MCTS LP (C = 3.0)"
"Greedy","46","MCTS LP (C = 3.0)","54","MCTS LP (C = 3.0)"
"Greedy","37","MCTS LP (C = 3.0)","59","MCTS LP (C = 3.0)"
"Greedy","48","MCTS LP (C = 3.0)","51","MCTS LP (C = 3.0)"
"Greedy","42","MCTS LP (C = 3.0)","51","MCTS LP (C = 3.0)"
"Greedy","46","MCTS LP (C = 3.0)","46","Tie"
"Greedy","46","MCTS LP (C = 3.0)","33","Greedy"
"Greedy","39","MCTS LP (C = 3.0)","48","MCTS LP (C = 3.0)"
"Greedy","37","MCTS LP (C = 3.0)","54","MCTS LP (C = 3.0)"
"Greedy","52","MCTS LP (C = 3.0)","38","Greedy"
"Greedy","44","MCTS LP (C = 3.0)","45","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","46","MCTS LP (C = 3.0)"
"Greedy","39","MCTS LP (C = 3.0)","50","MCTS LP (C = 3.0)"
"Greedy","43","MCTS LP (C = 3.0)","48","MCTS LP (C = 3.0)"
"Greedy","45","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","45","MCTS LP (C = 3.0)","51","MCTS LP (C = 3.0)"
"Greedy","42","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","53","MCTS LP (C = 3.0)"
"Greedy","36","MCTS LP (C = 3.0)","59","MCTS LP (C = 3.0)"
"Greedy","50","MCTS LP (C = 3.0)","43","Greedy"
"Greedy","45","MCTS LP (C = 3.0)","46","MCTS LP (C = 3.0)"
"Greedy","39","MCTS LP (C = 3.0)","48","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","55","MCTS LP (C = 3.0)"
"Greedy","39","MCTS LP (C = 3.0)","57","MCTS LP (C = 3.0)"
"Greedy","44","MCTS LP (C = 3.0)","48","MCTS LP (C = 3.0)"
"Greedy","43","MCTS LP (C = 3.0)","45","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","54","MCTS LP (C = 3.0)"
"Greedy","36","MCTS LP (C = 3.0)","51","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","58","MCTS LP (C = 3.0)"
"Greedy","43","MCTS LP (C = 3.0)","54","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","58","MCTS LP (C = 3.0)"
"Greedy","47","MCTS LP (C = 3.0)","36","Greedy"
"Greedy","46","MCTS LP (C = 3.0)","48","MCTS LP (C = 3.0)"
"Greedy","47","MCTS LP (C = 3.0)","47","Tie"
"Greedy","39","MCTS LP (C = 3.0)","57","MCTS LP (C = 3.0)"
"Greedy","32","MCTS LP (C = 3.0)","56","MCTS LP (C = 3.0)"
"Greedy","44","MCTS LP (C = 3.0)","51","MCTS LP (C = 3.0)"
"Greedy","44","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","38","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","39","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","39","MCTS LP (C = 3.0)","56","MCTS LP (C = 3.0)"
"Greedy","39","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","38","MCTS LP (C = 3.0)","55","MCTS LP (C = 3.0)"
"Greedy","35","MCTS LP (C = 3.0)","50","MCTS LP (C = 3.0)"
"Greedy","45","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","37","MCTS LP (C = 3.0)","57","MCTS LP (C = 3.0)"
"Greedy","35","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","55","MCTS LP (C = 3.0)","42","Greedy"
"Greedy","46","MCTS LP (C = 3.0)","48","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","48","MCTS LP (C = 3.0)"
"Greedy","44","MCTS LP (C = 3.0)","54","MCTS LP (C = 3.0)"
"Greedy","43","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","38","MCTS LP (C = 3.0)","51","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","51","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","56","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","54","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","47","MCTS LP (C = 3.0)"
"Greedy","48","MCTS LP (C = 3.0)","48","Tie"
"Greedy","46","MCTS LP (C = 3.0)","41","Greedy"
"Greedy","37","MCTS LP (C = 3.0)","45","MCTS LP (C = 3.0)"
"Greedy","43","MCTS LP (C = 3.0)","55","MCTS LP (C = 3.0)"
"Greedy","42","MCTS LP (C = 3.0)","51","MCTS LP (C = 3.0)"
"Greedy","39","MCTS LP (C = 3.0)","50","MCTS LP (C = 3.0)"
"Greedy","39","MCTS LP (C = 3.0)","54","MCTS LP (C = 3.0)"
"Greedy","29","MCTS LP (C = 3.0)","71","MCTS LP (C = 3.0)"
"Greedy","45","MCTS LP (C = 3.0)","47","MCTS LP (C = 3.0)"
"Greedy","43","MCTS LP (C = 3.0)","53","MCTS LP (C = 3.0)"
"Greedy","45","MCTS LP (C = 3.0)","48","MCTS LP (C = 3.0)"
"Greedy","40","MCTS LP (C = 3.0)","50","MCTS LP (C = 3.0)"
"Greedy","42","MCTS LP (C = 3.0)","53","MCTS LP (C = 3.0)"
"Greedy","42","MCTS LP (C = 3.0)","51","MCTS LP (C = 3.0)"
"Greedy","30","MCTS LP (C = 3.0)","62","MCTS LP (C = 3.0)"
"Greedy","37","MCTS LP (C = 3.0)","39","MCTS LP (C = 3.0)"
"Greedy","50","MCTS LP (C = 3.0)","47","Greedy"
"Greedy","45","MCTS LP (C = 3.0)","50","MCTS LP (C = 3.0)"
"Greedy","42","MCTS LP (C = 3.0)","53","MCTS LP (C = 3.0)"
"Greedy","43","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","45","MCTS LP (C = 3.0)","47","MCTS LP (C = 3.0)"
"Greedy","36","MCTS LP (C = 3.0)","60","MCTS LP (C = 3.0)"
"Greedy","43","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","49","MCTS LP (C = 3.0)","39","Greedy"
"Greedy","44","MCTS LP (C = 3.0)","54","MCTS LP (C = 3.0)"
"Greedy","36","MCTS LP (C = 3.0)","56","MCTS LP (C = 3.0)"
"Greedy","38","MCTS LP (C = 3.0)","42","MCTS LP (C = 3.0)"
"Greedy","45","MCTS LP (C = 3.0)","47","MCTS LP (C = 3.0)"
"Greedy","44","MCTS LP (C = 3.0)","50","MCTS LP (C = 3.0)"
"Greedy","45","MCTS LP (C = 3.0)","47","MCTS LP (C = 3.0)"
"Greedy","43","MCTS LP (C = 3.0)","53","MCTS LP (C = 3.0)"
"Greedy","37","MCTS LP (C = 3.0)","42","MCTS LP (C = 3.0)"
"Greedy","35","MCTS LP (C = 3.0)","56","MCTS LP (C = 3.0)"
"Greedy","43","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","34","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","48","MCTS LP (C = 3.0)"
"Greedy","47","MCTS LP (C = 3.0)","39","Greedy"
"Greedy","40","MCTS LP (C = 3.0)","55","MCTS LP (C = 3.0)"
"Greedy","42","MCTS LP (C = 3.0)","51","MCTS LP (C = 3.0)"
"Greedy","46","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","44","MCTS LP (C = 3.0)","50","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","52","MCTS LP (C = 3.0)"
"Greedy","41","MCTS LP (C = 3.0)","55","MCTS LP (C = 3.0)"
"Greedy","44","MCTS LP (C = 3.0)","49","MCTS LP (C = 3.0)"
