"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"Greedy Baseline 1","53","MCTS HP MORT 2","43","Greedy Baseline 1"
"Greedy Baseline 1","50","MCTS HP MORT 2","38","Greedy Baseline 1"
"Greedy Baseline 1","54","MCTS HP MORT 2","22","Greedy Baseline 1"
"Greedy Baseline 1","45","MCTS HP MORT 2","50","MCTS HP MORT 2"
"Greedy Baseline 1","56","MCTS HP MORT 2","41","Greedy Baseline 1"
"Greedy Baseline 1","54","MCTS HP MORT 2","42","Greedy Baseline 1"
"Greedy Baseline 1","44","MCTS HP MORT 2","49","MCTS HP MORT 2"
"Greedy Baseline 1","55","MCTS HP MORT 2","37","Greedy Baseline 1"
"Greedy Baseline 1","50","MCTS HP MORT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","60","MCTS HP MORT 2","38","Greedy Baseline 1"
"Greedy Baseline 1","53","MCTS HP MORT 2","37","Greedy Baseline 1"
"Greedy Baseline 1","47","MCTS HP MORT 2","50","MCTS HP MORT 2"
"Greedy Baseline 1","41","MCTS HP MORT 2","48","MCTS HP MORT 2"
"Greedy Baseline 1","41","MCTS HP MORT 2","44","MCTS HP MORT 2"
"Greedy Baseline 1","47","MCTS HP MORT 2","48","MCTS HP MORT 2"
"Greedy Baseline 1","42","MCTS HP MORT 2","51","MCTS HP MORT 2"
"Greedy Baseline 1","40","MCTS HP MORT 2","55","MCTS HP MORT 2"
"Greedy Baseline 1","62","MCTS HP MORT 2","37","Greedy Baseline 1"
"Greedy Baseline 1","55","MCTS HP MORT 2","43","Greedy Baseline 1"
"Greedy Baseline 1","40","MCTS HP MORT 2","47","MCTS HP MORT 2"
"Greedy Baseline 1","49","MCTS HP MORT 2","41","Greedy Baseline 1"
"Greedy Baseline 1","44","MCTS HP MORT 2","55","MCTS HP MORT 2"
"Greedy Baseline 1","49","MCTS HP MORT 2","46","Greedy Baseline 1"
"Greedy Baseline 1","53","MCTS HP MORT 2","39","Greedy Baseline 1"
"Greedy Baseline 1","49","MCTS HP MORT 2","47","Greedy Baseline 1"
"Greedy Baseline 1","38","MCTS HP MORT 2","52","MCTS HP MORT 2"
"Greedy Baseline 1","56","MCTS HP MORT 2","39","Greedy Baseline 1"
"Greedy Baseline 1","57","MCTS HP MORT 2","38","Greedy Baseline 1"
"Greedy Baseline 1","45","MCTS HP MORT 2","52","MCTS HP MORT 2"
"Greedy Baseline 1","56","MCTS HP MORT 2","41","Greedy Baseline 1"
"Greedy Baseline 1","54","MCTS HP MORT 2","38","Greedy Baseline 1"
"Greedy Baseline 1","58","MCTS HP MORT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","52","MCTS HP MORT 2","47","Greedy Baseline 1"
"Greedy Baseline 1","51","MCTS HP MORT 2","32","Greedy Baseline 1"
"Greedy Baseline 1","59","MCTS HP MORT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","46","MCTS HP MORT 2","44","Greedy Baseline 1"
"Greedy Baseline 1","48","MCTS HP MORT 2","33","Greedy Baseline 1"
"Greedy Baseline 1","63","MCTS HP MORT 2","33","Greedy Baseline 1"
"Greedy Baseline 1","42","MCTS HP MORT 2","54","MCTS HP MORT 2"
"Greedy Baseline 1","46","MCTS HP MORT 2","46","Tie"
"Greedy Baseline 1","50","MCTS HP MORT 2","39","Greedy Baseline 1"
"Greedy Baseline 1","59","MCTS HP MORT 2","37","Greedy Baseline 1"
"Greedy Baseline 1","54","MCTS HP MORT 2","37","Greedy Baseline 1"
"Greedy Baseline 1","48","MCTS HP MORT 2","49","MCTS HP MORT 2"
"Greedy Baseline 1","39","MCTS HP MORT 2","58","MCTS HP MORT 2"
"Greedy Baseline 1","56","MCTS HP MORT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","49","MCTS HP MORT 2","49","Tie"
"Greedy Baseline 1","45","MCTS HP MORT 2","50","MCTS HP MORT 2"
"Greedy Baseline 1","57","MCTS HP MORT 2","38","Greedy Baseline 1"
"Greedy Baseline 1","48","MCTS HP MORT 2","42","Greedy Baseline 1"
"Greedy Baseline 1","55","MCTS HP MORT 2","29","Greedy Baseline 1"
"Greedy Baseline 1","50","MCTS HP MORT 2","50","Tie"
"Greedy Baseline 1","63","MCTS HP MORT 2","32","Greedy Baseline 1"
"Greedy Baseline 1","55","MCTS HP MORT 2","43","Greedy Baseline 1"
"Greedy Baseline 1","63","MCTS HP MORT 2","34","Greedy Baseline 1"
"Greedy Baseline 1","58","MCTS HP MORT 2","37","Greedy Baseline 1"
"Greedy Baseline 1","61","MCTS HP MORT 2","37","Greedy Baseline 1"
"Greedy Baseline 1","56","MCTS HP MORT 2","38","Greedy Baseline 1"
"Greedy Baseline 1","37","MCTS HP MORT 2","40","MCTS HP MORT 2"
"Greedy Baseline 1","48","MCTS HP MORT 2","37","Greedy Baseline 1"
"Greedy Baseline 1","40","MCTS HP MORT 2","49","MCTS HP MORT 2"
"Greedy Baseline 1","56","MCTS HP MORT 2","38","Greedy Baseline 1"
"Greedy Baseline 1","57","MCTS HP MORT 2","37","Greedy Baseline 1"
"Greedy Baseline 1","58","MCTS HP MORT 2","34","Greedy Baseline 1"
"Greedy Baseline 1","47","MCTS HP MORT 2","48","MCTS HP MORT 2"
"Greedy Baseline 1","58","MCTS HP MORT 2","37","Greedy Baseline 1"
"Greedy Baseline 1","55","MCTS HP MORT 2","44","Greedy Baseline 1"
"Greedy Baseline 1","55","MCTS HP MORT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","65","MCTS HP MORT 2","25","Greedy Baseline 1"
"Greedy Baseline 1","54","MCTS HP MORT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","57","MCTS HP MORT 2","37","Greedy Baseline 1"
"Greedy Baseline 1","56","MCTS HP MORT 2","43","Greedy Baseline 1"
"Greedy Baseline 1","60","MCTS HP MORT 2","37","Greedy Baseline 1"
"Greedy Baseline 1","31","MCTS HP MORT 2","64","MCTS HP MORT 2"
"Greedy Baseline 1","64","MCTS HP MORT 2","32","Greedy Baseline 1"
"Greedy Baseline 1","62","MCTS HP MORT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","68","MCTS HP MORT 2","25","Greedy Baseline 1"
"Greedy Baseline 1","42","MCTS HP MORT 2","57","MCTS HP MORT 2"
"Greedy Baseline 1","63","MCTS HP MORT 2","35","Greedy Baseline 1"
"Greedy Baseline 1","41","MCTS HP MORT 2","54","MCTS HP MORT 2"
"Greedy Baseline 1","44","MCTS HP MORT 2","52","MCTS HP MORT 2"
"Greedy Baseline 1","57","MCTS HP MORT 2","30","Greedy Baseline 1"
"Greedy Baseline 1","42","MCTS HP MORT 2","53","MCTS HP MORT 2"
"Greedy Baseline 1","39","MCTS HP MORT 2","57","MCTS HP MORT 2"
"Greedy Baseline 1","38","MCTS HP MORT 2","46","MCTS HP MORT 2"
"Greedy Baseline 1","43","MCTS HP MORT 2","50","MCTS HP MORT 2"
"Greedy Baseline 1","54","MCTS HP MORT 2","38","Greedy Baseline 1"
"Greedy Baseline 1","55","MCTS HP MORT 2","25","Greedy Baseline 1"
"Greedy Baseline 1","41","MCTS HP MORT 2","55","MCTS HP MORT 2"
"Greedy Baseline 1","45","MCTS HP MORT 2","44","Greedy Baseline 1"
"Greedy Baseline 1","56","MCTS HP MORT 2","39","Greedy Baseline 1"
"Greedy Baseline 1","45","MCTS HP MORT 2","48","MCTS HP MORT 2"
"Greedy Baseline 1","63","MCTS HP MORT 2","34","Greedy Baseline 1"
"Greedy Baseline 1","37","MCTS HP MORT 2","46","MCTS HP MORT 2"
"Greedy Baseline 1","57","MCTS HP MORT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","57","MCTS HP MORT 2","38","Greedy Baseline 1"
"Greedy Baseline 1","32","MCTS HP MORT 2","51","MCTS HP MORT 2"
"Greedy Baseline 1","41","MCTS HP MORT 2","48","MCTS HP MORT 2"
"Greedy Baseline 1","49","MCTS HP MORT 2","41","Greedy Baseline 1"
"Greedy Baseline 1","45","MCTS HP MORT 2","55","MCTS HP MORT 2"
"Greedy Baseline 1","44","MCTS HP MORT 2","50","MCTS HP MORT 2"
"Greedy Baseline 1","49","MCTS HP MORT 2","45","Greedy Baseline 1"
"Greedy Baseline 1","48","MCTS HP MORT 2","48","Tie"
"Greedy Baseline 1","40","MCTS HP MORT 2","56","MCTS HP MORT 2"
"Greedy Baseline 1","40","MCTS HP MORT 2","49","MCTS HP MORT 2"
"Greedy Baseline 1","57","MCTS HP MORT 2","35","Greedy Baseline 1"
"Greedy Baseline 1","56","MCTS HP MORT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","52","MCTS HP MORT 2","42","Greedy Baseline 1"
"Greedy Baseline 1","61","MCTS HP MORT 2","32","Greedy Baseline 1"
"Greedy Baseline 1","50","MCTS HP MORT 2","38","Greedy Baseline 1"
"Greedy Baseline 1","39","MCTS HP MORT 2","45","MCTS HP MORT 2"
"Greedy Baseline 1","57","MCTS HP MORT 2","32","Greedy Baseline 1"
"Greedy Baseline 1","67","MCTS HP MORT 2","32","Greedy Baseline 1"
"Greedy Baseline 1","50","MCTS HP MORT 2","48","Greedy Baseline 1"
"Greedy Baseline 1","45","MCTS HP MORT 2","53","MCTS HP MORT 2"
"Greedy Baseline 1","46","MCTS HP MORT 2","48","MCTS HP MORT 2"
"Greedy Baseline 1","52","MCTS HP MORT 2","33","Greedy Baseline 1"
"Greedy Baseline 1","57","MCTS HP MORT 2","38","Greedy Baseline 1"
"Greedy Baseline 1","45","MCTS HP MORT 2","47","MCTS HP MORT 2"
"Greedy Baseline 1","43","MCTS HP MORT 2","46","MCTS HP MORT 2"
"Greedy Baseline 1","46","MCTS HP MORT 2","37","Greedy Baseline 1"
"Greedy Baseline 1","49","MCTS HP MORT 2","39","Greedy Baseline 1"
"Greedy Baseline 1","62","MCTS HP MORT 2","35","Greedy Baseline 1"
"Greedy Baseline 1","45","MCTS HP MORT 2","51","MCTS HP MORT 2"
"Greedy Baseline 1","57","MCTS HP MORT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","43","MCTS HP MORT 2","43","Tie"
"Greedy Baseline 1","50","MCTS HP MORT 2","45","Greedy Baseline 1"
"Greedy Baseline 1","43","MCTS HP MORT 2","47","MCTS HP MORT 2"
"Greedy Baseline 1","57","MCTS HP MORT 2","35","Greedy Baseline 1"
"Greedy Baseline 1","41","MCTS HP MORT 2","50","MCTS HP MORT 2"
"Greedy Baseline 1","41","MCTS HP MORT 2","55","MCTS HP MORT 2"
"Greedy Baseline 1","53","MCTS HP MORT 2","29","Greedy Baseline 1"
"Greedy Baseline 1","46","MCTS HP MORT 2","51","MCTS HP MORT 2"
"Greedy Baseline 1","47","MCTS HP MORT 2","49","MCTS HP MORT 2"
"Greedy Baseline 1","55","MCTS HP MORT 2","34","Greedy Baseline 1"
"Greedy Baseline 1","46","MCTS HP MORT 2","50","MCTS HP MORT 2"
"Greedy Baseline 1","56","MCTS HP MORT 2","38","Greedy Baseline 1"
"Greedy Baseline 1","50","MCTS HP MORT 2","43","Greedy Baseline 1"
"Greedy Baseline 1","41","MCTS HP MORT 2","43","MCTS HP MORT 2"
"Greedy Baseline 1","50","MCTS HP MORT 2","50","Tie"
"Greedy Baseline 1","61","MCTS HP MORT 2","33","Greedy Baseline 1"
"Greedy Baseline 1","56","MCTS HP MORT 2","41","Greedy Baseline 1"
"Greedy Baseline 1","62","MCTS HP MORT 2","33","Greedy Baseline 1"
"Greedy Baseline 1","54","MCTS HP MORT 2","39","Greedy Baseline 1"
"Greedy Baseline 1","46","MCTS HP MORT 2","38","Greedy Baseline 1"
"Greedy Baseline 1","39","MCTS HP MORT 2","48","MCTS HP MORT 2"
"Greedy Baseline 1","52","MCTS HP MORT 2","43","Greedy Baseline 1"
"Greedy Baseline 1","58","MCTS HP MORT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","45","MCTS HP MORT 2","53","MCTS HP MORT 2"
"Greedy Baseline 1","51","MCTS HP MORT 2","43","Greedy Baseline 1"
"Greedy Baseline 1","49","MCTS HP MORT 2","34","Greedy Baseline 1"
"Greedy Baseline 1","45","MCTS HP MORT 2","54","MCTS HP MORT 2"
"Greedy Baseline 1","59","MCTS HP MORT 2","38","Greedy Baseline 1"
"Greedy Baseline 1","57","MCTS HP MORT 2","34","Greedy Baseline 1"
"Greedy Baseline 1","54","MCTS HP MORT 2","30","Greedy Baseline 1"
"Greedy Baseline 1","47","MCTS HP MORT 2","51","MCTS HP MORT 2"
"Greedy Baseline 1","50","MCTS HP MORT 2","31","Greedy Baseline 1"
"Greedy Baseline 1","44","MCTS HP MORT 2","51","MCTS HP MORT 2"
"Greedy Baseline 1","49","MCTS HP MORT 2","49","Tie"
"Greedy Baseline 1","54","MCTS HP MORT 2","30","Greedy Baseline 1"
"Greedy Baseline 1","47","MCTS HP MORT 2","53","MCTS HP MORT 2"
"Greedy Baseline 1","51","MCTS HP MORT 2","34","Greedy Baseline 1"
"Greedy Baseline 1","50","MCTS HP MORT 2","37","Greedy Baseline 1"
"Greedy Baseline 1","56","MCTS HP MORT 2","35","Greedy Baseline 1"
"Greedy Baseline 1","44","MCTS HP MORT 2","49","MCTS HP MORT 2"
"Greedy Baseline 1","52","MCTS HP MORT 2","33","Greedy Baseline 1"
"Greedy Baseline 1","46","MCTS HP MORT 2","47","MCTS HP MORT 2"
"Greedy Baseline 1","60","MCTS HP MORT 2","34","Greedy Baseline 1"
"Greedy Baseline 1","44","MCTS HP MORT 2","51","MCTS HP MORT 2"
"Greedy Baseline 1","39","MCTS HP MORT 2","61","MCTS HP MORT 2"
"Greedy Baseline 1","54","MCTS HP MORT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","46","MCTS HP MORT 2","47","MCTS HP MORT 2"
"Greedy Baseline 1","69","MCTS HP MORT 2","30","Greedy Baseline 1"
"Greedy Baseline 1","54","MCTS HP MORT 2","27","Greedy Baseline 1"
"Greedy Baseline 1","49","MCTS HP MORT 2","34","Greedy Baseline 1"
"Greedy Baseline 1","50","MCTS HP MORT 2","38","Greedy Baseline 1"
"Greedy Baseline 1","54","MCTS HP MORT 2","30","Greedy Baseline 1"
"Greedy Baseline 1","56","MCTS HP MORT 2","27","Greedy Baseline 1"
"Greedy Baseline 1","52","MCTS HP MORT 2","44","Greedy Baseline 1"
"Greedy Baseline 1","45","MCTS HP MORT 2","48","MCTS HP MORT 2"
"Greedy Baseline 1","52","MCTS HP MORT 2","38","Greedy Baseline 1"
"Greedy Baseline 1","56","MCTS HP MORT 2","39","Greedy Baseline 1"
"Greedy Baseline 1","41","MCTS HP MORT 2","49","MCTS HP MORT 2"
"Greedy Baseline 1","38","MCTS HP MORT 2","45","MCTS HP MORT 2"
"Greedy Baseline 1","59","MCTS HP MORT 2","33","Greedy Baseline 1"
"Greedy Baseline 1","45","MCTS HP MORT 2","49","MCTS HP MORT 2"
"Greedy Baseline 1","53","MCTS HP MORT 2","43","Greedy Baseline 1"
"Greedy Baseline 1","54","MCTS HP MORT 2","42","Greedy Baseline 1"
"Greedy Baseline 1","43","MCTS HP MORT 2","56","MCTS HP MORT 2"
"Greedy Baseline 1","70","MCTS HP MORT 2","27","Greedy Baseline 1"
"Greedy Baseline 1","61","MCTS HP MORT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","65","MCTS HP MORT 2","26","Greedy Baseline 1"
"Greedy Baseline 1","46","MCTS HP MORT 2","48","MCTS HP MORT 2"
"Greedy Baseline 1","61","MCTS HP MORT 2","31","Greedy Baseline 1"
"Greedy Baseline 1","51","MCTS HP MORT 2","39","Greedy Baseline 1"
"Greedy Baseline 1","48","MCTS HP MORT 2","49","MCTS HP MORT 2"
"Greedy Baseline 1","68","MCTS HP MORT 2","29","Greedy Baseline 1"
"Greedy Baseline 1","58","MCTS HP MORT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","61","MCTS HP MORT 2","35","Greedy Baseline 1"
"Greedy Baseline 1","35","MCTS HP MORT 2","41","MCTS HP MORT 2"
"Greedy Baseline 1","42","MCTS HP MORT 2","50","MCTS HP MORT 2"
"Greedy Baseline 1","42","MCTS HP MORT 2","45","MCTS HP MORT 2"
"Greedy Baseline 1","55","MCTS HP MORT 2","37","Greedy Baseline 1"
"Greedy Baseline 1","64","MCTS HP MORT 2","34","Greedy Baseline 1"
"Greedy Baseline 1","54","MCTS HP MORT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","44","MCTS HP MORT 2","46","MCTS HP MORT 2"
"Greedy Baseline 1","52","MCTS HP MORT 2","33","Greedy Baseline 1"
"Greedy Baseline 1","61","MCTS HP MORT 2","32","Greedy Baseline 1"
"Greedy Baseline 1","39","MCTS HP MORT 2","52","MCTS HP MORT 2"
"Greedy Baseline 1","52","MCTS HP MORT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","48","MCTS HP MORT 2","50","MCTS HP MORT 2"
"Greedy Baseline 1","39","MCTS HP MORT 2","45","MCTS HP MORT 2"
"Greedy Baseline 1","55","MCTS HP MORT 2","39","Greedy Baseline 1"
"Greedy Baseline 1","60","MCTS HP MORT 2","32","Greedy Baseline 1"
"Greedy Baseline 1","52","MCTS HP MORT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","55","MCTS HP MORT 2","38","Greedy Baseline 1"
"Greedy Baseline 1","49","MCTS HP MORT 2","33","Greedy Baseline 1"
"Greedy Baseline 1","44","MCTS HP MORT 2","48","MCTS HP MORT 2"
"Greedy Baseline 1","39","MCTS HP MORT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","57","MCTS HP MORT 2","31","Greedy Baseline 1"
"Greedy Baseline 1","47","MCTS HP MORT 2","44","Greedy Baseline 1"
"Greedy Baseline 1","43","MCTS HP MORT 2","51","MCTS HP MORT 2"
"Greedy Baseline 1","48","MCTS HP MORT 2","48","Tie"
"Greedy Baseline 1","45","MCTS HP MORT 2","45","Tie"
"Greedy Baseline 1","54","MCTS HP MORT 2","32","Greedy Baseline 1"
"Greedy Baseline 1","51","MCTS HP MORT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","52","MCTS HP MORT 2","38","Greedy Baseline 1"
"Greedy Baseline 1","60","MCTS HP MORT 2","34","Greedy Baseline 1"
"Greedy Baseline 1","42","MCTS HP MORT 2","50","MCTS HP MORT 2"
"Greedy Baseline 1","46","MCTS HP MORT 2","42","Greedy Baseline 1"
"Greedy Baseline 1","56","MCTS HP MORT 2","32","Greedy Baseline 1"
"Greedy Baseline 1","56","MCTS HP MORT 2","41","Greedy Baseline 1"
"Greedy Baseline 1","41","MCTS HP MORT 2","51","MCTS HP MORT 2"
"Greedy Baseline 1","38","MCTS HP MORT 2","43","MCTS HP MORT 2"
"Greedy Baseline 1","43","MCTS HP MORT 2","50","MCTS HP MORT 2"
"Greedy Baseline 1","57","MCTS HP MORT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","53","MCTS HP MORT 2","43","Greedy Baseline 1"
"Greedy Baseline 1","59","MCTS HP MORT 2","37","Greedy Baseline 1"
"Greedy Baseline 1","59","MCTS HP MORT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","56","MCTS HP MORT 2","37","Greedy Baseline 1"
"Greedy Baseline 1","48","MCTS HP MORT 2","42","Greedy Baseline 1"
"Greedy Baseline 1","45","MCTS HP MORT 2","37","Greedy Baseline 1"
"Greedy Baseline 1","52","MCTS HP MORT 2","34","Greedy Baseline 1"
"Greedy Baseline 1","45","MCTS HP MORT 2","48","MCTS HP MORT 2"
"Greedy Baseline 1","59","MCTS HP MORT 2","38","Greedy Baseline 1"
"Greedy Baseline 1","57","MCTS HP MORT 2","33","Greedy Baseline 1"
"Greedy Baseline 1","46","MCTS HP MORT 2","52","MCTS HP MORT 2"
"Greedy Baseline 1","52","MCTS HP MORT 2","37","Greedy Baseline 1"
"Greedy Baseline 1","53","MCTS HP MORT 2","39","Greedy Baseline 1"
"Greedy Baseline 1","51","MCTS HP MORT 2","43","Greedy Baseline 1"
"Greedy Baseline 1","44","MCTS HP MORT 2","52","MCTS HP MORT 2"
"Greedy Baseline 1","47","MCTS HP MORT 2","52","MCTS HP MORT 2"
"Greedy Baseline 1","54","MCTS HP MORT 2","44","Greedy Baseline 1"
"Greedy Baseline 1","44","MCTS HP MORT 2","50","MCTS HP MORT 2"
"Greedy Baseline 1","42","MCTS HP MORT 2","46","MCTS HP MORT 2"
"Greedy Baseline 1","53","MCTS HP MORT 2","42","Greedy Baseline 1"
"Greedy Baseline 1","48","MCTS HP MORT 2","51","MCTS HP MORT 2"
"Greedy Baseline 1","60","MCTS HP MORT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","41","MCTS HP MORT 2","57","MCTS HP MORT 2"
"Greedy Baseline 1","54","MCTS HP MORT 2","38","Greedy Baseline 1"
"Greedy Baseline 1","52","MCTS HP MORT 2","38","Greedy Baseline 1"
"Greedy Baseline 1","71","MCTS HP MORT 2","25","Greedy Baseline 1"
"Greedy Baseline 1","61","MCTS HP MORT 2","37","Greedy Baseline 1"
"Greedy Baseline 1","44","MCTS HP MORT 2","51","MCTS HP MORT 2"
"Greedy Baseline 1","56","MCTS HP MORT 2","28","Greedy Baseline 1"
"Greedy Baseline 1","42","MCTS HP MORT 2","48","MCTS HP MORT 2"
"Greedy Baseline 1","60","MCTS HP MORT 2","29","Greedy Baseline 1"
"Greedy Baseline 1","47","MCTS HP MORT 2","53","MCTS HP MORT 2"
"Greedy Baseline 1","46","MCTS HP MORT 2","51","MCTS HP MORT 2"
"Greedy Baseline 1","36","MCTS HP MORT 2","41","MCTS HP MORT 2"
"Greedy Baseline 1","51","MCTS HP MORT 2","35","Greedy Baseline 1"
"Greedy Baseline 1","62","MCTS HP MORT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","44","MCTS HP MORT 2","54","MCTS HP MORT 2"
"Greedy Baseline 1","60","MCTS HP MORT 2","28","Greedy Baseline 1"
"Greedy Baseline 1","58","MCTS HP MORT 2","37","Greedy Baseline 1"
"Greedy Baseline 1","54","MCTS HP MORT 2","29","Greedy Baseline 1"
"Greedy Baseline 1","42","MCTS HP MORT 2","46","MCTS HP MORT 2"
"Greedy Baseline 1","45","MCTS HP MORT 2","54","MCTS HP MORT 2"
"Greedy Baseline 1","59","MCTS HP MORT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","45","MCTS HP MORT 2","48","MCTS HP MORT 2"
"Greedy Baseline 1","53","MCTS HP MORT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","44","MCTS HP MORT 2","53","MCTS HP MORT 2"
"Greedy Baseline 1","45","MCTS HP MORT 2","52","MCTS HP MORT 2"
"Greedy Baseline 1","58","MCTS HP MORT 2","38","Greedy Baseline 1"
"Greedy Baseline 1","48","MCTS HP MORT 2","39","Greedy Baseline 1"
"Greedy Baseline 1","58","MCTS HP MORT 2","34","Greedy Baseline 1"
"Greedy Baseline 1","58","MCTS HP MORT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","63","MCTS HP MORT 2","30","Greedy Baseline 1"
"Greedy Baseline 1","58","MCTS HP MORT 2","29","Greedy Baseline 1"
"Greedy Baseline 1","55","MCTS HP MORT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","29","MCTS HP MORT 2","67","MCTS HP MORT 2"
"Greedy Baseline 1","53","MCTS HP MORT 2","46","Greedy Baseline 1"
"Greedy Baseline 1","45","MCTS HP MORT 2","48","MCTS HP MORT 2"
"Greedy Baseline 1","61","MCTS HP MORT 2","32","Greedy Baseline 1"
"Greedy Baseline 1","48","MCTS HP MORT 2","35","Greedy Baseline 1"
"Greedy Baseline 1","58","MCTS HP MORT 2","33","Greedy Baseline 1"
"Greedy Baseline 1","58","MCTS HP MORT 2","38","Greedy Baseline 1"
"Greedy Baseline 1","60","MCTS HP MORT 2","31","Greedy Baseline 1"
"Greedy Baseline 1","64","MCTS HP MORT 2","35","Greedy Baseline 1"
"Greedy Baseline 1","48","MCTS HP MORT 2","52","MCTS HP MORT 2"
"Greedy Baseline 1","49","MCTS HP MORT 2","37","Greedy Baseline 1"
"Greedy Baseline 1","58","MCTS HP MORT 2","41","Greedy Baseline 1"
"Greedy Baseline 1","60","MCTS HP MORT 2","34","Greedy Baseline 1"
"Greedy Baseline 1","55","MCTS HP MORT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","59","MCTS HP MORT 2","39","Greedy Baseline 1"
"Greedy Baseline 1","44","MCTS HP MORT 2","43","Greedy Baseline 1"
"Greedy Baseline 1","56","MCTS HP MORT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","45","MCTS HP MORT 2","52","MCTS HP MORT 2"
"Greedy Baseline 1","52","MCTS HP MORT 2","41","Greedy Baseline 1"
"Greedy Baseline 1","49","MCTS HP MORT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","51","MCTS HP MORT 2","32","Greedy Baseline 1"
"Greedy Baseline 1","53","MCTS HP MORT 2","36","Greedy Baseline 1"
"Greedy Baseline 1","47","MCTS HP MORT 2","49","MCTS HP MORT 2"
"Greedy Baseline 1","58","MCTS HP MORT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","45","MCTS HP MORT 2","50","MCTS HP MORT 2"
"Greedy Baseline 1","55","MCTS HP MORT 2","39","Greedy Baseline 1"
"Greedy Baseline 1","51","MCTS HP MORT 2","46","Greedy Baseline 1"
"Greedy Baseline 1","33","MCTS HP MORT 2","67","MCTS HP MORT 2"
"Greedy Baseline 1","38","MCTS HP MORT 2","49","MCTS HP MORT 2"
"Greedy Baseline 1","57","MCTS HP MORT 2","31","Greedy Baseline 1"
"Greedy Baseline 1","42","MCTS HP MORT 2","57","MCTS HP MORT 2"
"Greedy Baseline 1","45","MCTS HP MORT 2","46","MCTS HP MORT 2"
"Greedy Baseline 1","68","MCTS HP MORT 2","24","Greedy Baseline 1"
"Greedy Baseline 1","52","MCTS HP MORT 2","45","Greedy Baseline 1"
"Greedy Baseline 1","55","MCTS HP MORT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","52","MCTS HP MORT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","53","MCTS HP MORT 2","28","Greedy Baseline 1"
"Greedy Baseline 1","67","MCTS HP MORT 2","23","Greedy Baseline 1"
"Greedy Baseline 1","47","MCTS HP MORT 2","39","Greedy Baseline 1"
"Greedy Baseline 1","39","MCTS HP MORT 2","51","MCTS HP MORT 2"
"Greedy Baseline 1","50","MCTS HP MORT 2","38","Greedy Baseline 1"
"Greedy Baseline 1","37","MCTS HP MORT 2","48","MCTS HP MORT 2"
"Greedy Baseline 1","48","MCTS HP MORT 2","51","MCTS HP MORT 2"
"Greedy Baseline 1","45","MCTS HP MORT 2","48","MCTS HP MORT 2"
"Greedy Baseline 1","51","MCTS HP MORT 2","42","Greedy Baseline 1"
"Greedy Baseline 1","41","MCTS HP MORT 2","57","MCTS HP MORT 2"
"Greedy Baseline 1","52","MCTS HP MORT 2","41","Greedy Baseline 1"
"Greedy Baseline 1","52","MCTS HP MORT 2","40","Greedy Baseline 1"
"Greedy Baseline 1","36","MCTS HP MORT 2","61","MCTS HP MORT 2"
"Greedy Baseline 1","46","MCTS HP MORT 2","48","MCTS HP MORT 2"
"Greedy Baseline 1","53","MCTS HP MORT 2","38","Greedy Baseline 1"
"Greedy Baseline 1","47","MCTS HP MORT 2","50","MCTS HP MORT 2"
"Greedy Baseline 1","44","MCTS HP MORT 2","46","MCTS HP MORT 2"
"Greedy Baseline 1","57","MCTS HP MORT 2","38","Greedy Baseline 1"
"Greedy Baseline 1","66","MCTS HP MORT 2","32","Greedy Baseline 1"
"Greedy Baseline 1","47","MCTS HP MORT 2","48","MCTS HP MORT 2"
"Greedy Baseline 1","56","MCTS HP MORT 2","36","Greedy Baseline 1"
