"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","52","MCTS HP MOTFC 2"
"Greedy Baseline 1","33","MCTS HP MOTFC 2","53","MCTS HP MOTFC 2"
"Greedy Baseline 1","39","MCTS HP MOTFC 2","57","MCTS HP MOTFC 2"
"Greedy Baseline 1","45","MCTS HP MOTFC 2","49","MCTS HP MOTFC 2"
"Greedy Baseline 1","37","MCTS HP MOTFC 2","63","MCTS HP MOTFC 2"
"Greedy Baseline 1","45","MCTS HP MOTFC 2","47","MCTS HP MOTFC 2"
"Greedy Baseline 1","45","MCTS HP MOTFC 2","48","MCTS HP MOTFC 2"
"Greedy Baseline 1","40","MCTS HP MOTFC 2","42","MCTS HP MOTFC 2"
"Greedy Baseline 1","40","MCTS HP MOTFC 2","51","MCTS HP MOTFC 2"
"Greedy Baseline 1","32","MCTS HP MOTFC 2","42","MCTS HP MOTFC 2"
"Greedy Baseline 1","30","MCTS HP MOTFC 2","48","MCTS HP MOTFC 2"
"Greedy Baseline 1","34","MCTS HP MOTFC 2","52","MCTS HP MOTFC 2"
"Greedy Baseline 1","42","MCTS HP MOTFC 2","48","MCTS HP MOTFC 2"
"Greedy Baseline 1","55","MCTS HP MOTFC 2","40","Greedy Baseline 1"
"Greedy Baseline 1","42","MCTS HP MOTFC 2","55","MCTS HP MOTFC 2"
"Greedy Baseline 1","42","MCTS HP MOTFC 2","55","MCTS HP MOTFC 2"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","56","MCTS HP MOTFC 2"
"Greedy Baseline 1","42","MCTS HP MOTFC 2","51","MCTS HP MOTFC 2"
"Greedy Baseline 1","44","MCTS HP MOTFC 2","45","MCTS HP MOTFC 2"
"Greedy Baseline 1","42","MCTS HP MOTFC 2","53","MCTS HP MOTFC 2"
"Greedy Baseline 1","46","MCTS HP MOTFC 2","51","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","55","MCTS HP MOTFC 2"
"Greedy Baseline 1","37","MCTS HP MOTFC 2","59","MCTS HP MOTFC 2"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","49","MCTS HP MOTFC 2"
"Greedy Baseline 1","46","MCTS HP MOTFC 2","49","MCTS HP MOTFC 2"
"Greedy Baseline 1","39","MCTS HP MOTFC 2","57","MCTS HP MOTFC 2"
"Greedy Baseline 1","42","MCTS HP MOTFC 2","47","MCTS HP MOTFC 2"
"Greedy Baseline 1","47","MCTS HP MOTFC 2","48","MCTS HP MOTFC 2"
"Greedy Baseline 1","42","MCTS HP MOTFC 2","48","MCTS HP MOTFC 2"
"Greedy Baseline 1","34","MCTS HP MOTFC 2","51","MCTS HP MOTFC 2"
"Greedy Baseline 1","50","MCTS HP MOTFC 2","44","Greedy Baseline 1"
"Greedy Baseline 1","46","MCTS HP MOTFC 2","48","MCTS HP MOTFC 2"
"Greedy Baseline 1","47","MCTS HP MOTFC 2","50","MCTS HP MOTFC 2"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","50","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","45","MCTS HP MOTFC 2"
"Greedy Baseline 1","35","MCTS HP MOTFC 2","52","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","44","MCTS HP MOTFC 2"
"Greedy Baseline 1","34","MCTS HP MOTFC 2","50","MCTS HP MOTFC 2"
"Greedy Baseline 1","36","MCTS HP MOTFC 2","53","MCTS HP MOTFC 2"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","44","MCTS HP MOTFC 2"
"Greedy Baseline 1","34","MCTS HP MOTFC 2","38","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","55","MCTS HP MOTFC 2"
"Greedy Baseline 1","33","MCTS HP MOTFC 2","64","MCTS HP MOTFC 2"
"Greedy Baseline 1","36","MCTS HP MOTFC 2","58","MCTS HP MOTFC 2"
"Greedy Baseline 1","44","MCTS HP MOTFC 2","54","MCTS HP MOTFC 2"
"Greedy Baseline 1","42","MCTS HP MOTFC 2","47","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","51","MCTS HP MOTFC 2"
"Greedy Baseline 1","48","MCTS HP MOTFC 2","49","MCTS HP MOTFC 2"
"Greedy Baseline 1","39","MCTS HP MOTFC 2","59","MCTS HP MOTFC 2"
"Greedy Baseline 1","36","MCTS HP MOTFC 2","52","MCTS HP MOTFC 2"
"Greedy Baseline 1","40","MCTS HP MOTFC 2","46","MCTS HP MOTFC 2"
"Greedy Baseline 1","38","MCTS HP MOTFC 2","51","MCTS HP MOTFC 2"
"Greedy Baseline 1","45","MCTS HP MOTFC 2","47","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","57","MCTS HP MOTFC 2"
"Greedy Baseline 1","46","MCTS HP MOTFC 2","47","MCTS HP MOTFC 2"
"Greedy Baseline 1","40","MCTS HP MOTFC 2","56","MCTS HP MOTFC 2"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","48","MCTS HP MOTFC 2"
"Greedy Baseline 1","40","MCTS HP MOTFC 2","49","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","55","MCTS HP MOTFC 2"
"Greedy Baseline 1","51","MCTS HP MOTFC 2","47","Greedy Baseline 1"
"Greedy Baseline 1","39","MCTS HP MOTFC 2","53","MCTS HP MOTFC 2"
"Greedy Baseline 1","34","MCTS HP MOTFC 2","65","MCTS HP MOTFC 2"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","52","MCTS HP MOTFC 2"
"Greedy Baseline 1","40","MCTS HP MOTFC 2","50","MCTS HP MOTFC 2"
"Greedy Baseline 1","39","MCTS HP MOTFC 2","49","MCTS HP MOTFC 2"
"Greedy Baseline 1","39","MCTS HP MOTFC 2","56","MCTS HP MOTFC 2"
"Greedy Baseline 1","46","MCTS HP MOTFC 2","52","MCTS HP MOTFC 2"
"Greedy Baseline 1","38","MCTS HP MOTFC 2","55","MCTS HP MOTFC 2"
"Greedy Baseline 1","33","MCTS HP MOTFC 2","59","MCTS HP MOTFC 2"
"Greedy Baseline 1","38","MCTS HP MOTFC 2","47","MCTS HP MOTFC 2"
"Greedy Baseline 1","42","MCTS HP MOTFC 2","50","MCTS HP MOTFC 2"
"Greedy Baseline 1","37","MCTS HP MOTFC 2","50","MCTS HP MOTFC 2"
"Greedy Baseline 1","37","MCTS HP MOTFC 2","44","MCTS HP MOTFC 2"
"Greedy Baseline 1","36","MCTS HP MOTFC 2","42","MCTS HP MOTFC 2"
"Greedy Baseline 1","48","MCTS HP MOTFC 2","49","MCTS HP MOTFC 2"
"Greedy Baseline 1","35","MCTS HP MOTFC 2","54","MCTS HP MOTFC 2"
"Greedy Baseline 1","40","MCTS HP MOTFC 2","43","MCTS HP MOTFC 2"
"Greedy Baseline 1","35","MCTS HP MOTFC 2","57","MCTS HP MOTFC 2"
"Greedy Baseline 1","40","MCTS HP MOTFC 2","54","MCTS HP MOTFC 2"
"Greedy Baseline 1","49","MCTS HP MOTFC 2","33","Greedy Baseline 1"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","54","MCTS HP MOTFC 2"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","53","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","55","MCTS HP MOTFC 2"
"Greedy Baseline 1","39","MCTS HP MOTFC 2","47","MCTS HP MOTFC 2"
"Greedy Baseline 1","35","MCTS HP MOTFC 2","61","MCTS HP MOTFC 2"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","54","MCTS HP MOTFC 2"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","45","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","45","MCTS HP MOTFC 2"
"Greedy Baseline 1","34","MCTS HP MOTFC 2","58","MCTS HP MOTFC 2"
"Greedy Baseline 1","46","MCTS HP MOTFC 2","52","MCTS HP MOTFC 2"
"Greedy Baseline 1","42","MCTS HP MOTFC 2","49","MCTS HP MOTFC 2"
"Greedy Baseline 1","38","MCTS HP MOTFC 2","44","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","51","MCTS HP MOTFC 2"
"Greedy Baseline 1","35","MCTS HP MOTFC 2","52","MCTS HP MOTFC 2"
"Greedy Baseline 1","39","MCTS HP MOTFC 2","49","MCTS HP MOTFC 2"
"Greedy Baseline 1","44","MCTS HP MOTFC 2","49","MCTS HP MOTFC 2"
"Greedy Baseline 1","44","MCTS HP MOTFC 2","48","MCTS HP MOTFC 2"
"Greedy Baseline 1","28","MCTS HP MOTFC 2","37","MCTS HP MOTFC 2"
"Greedy Baseline 1","37","MCTS HP MOTFC 2","56","MCTS HP MOTFC 2"
"Greedy Baseline 1","36","MCTS HP MOTFC 2","54","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","53","MCTS HP MOTFC 2"
"Greedy Baseline 1","40","MCTS HP MOTFC 2","60","MCTS HP MOTFC 2"
"Greedy Baseline 1","37","MCTS HP MOTFC 2","42","MCTS HP MOTFC 2"
"Greedy Baseline 1","38","MCTS HP MOTFC 2","53","MCTS HP MOTFC 2"
"Greedy Baseline 1","33","MCTS HP MOTFC 2","64","MCTS HP MOTFC 2"
"Greedy Baseline 1","42","MCTS HP MOTFC 2","54","MCTS HP MOTFC 2"
"Greedy Baseline 1","38","MCTS HP MOTFC 2","50","MCTS HP MOTFC 2"
"Greedy Baseline 1","46","MCTS HP MOTFC 2","51","MCTS HP MOTFC 2"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","46","MCTS HP MOTFC 2"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","48","MCTS HP MOTFC 2"
"Greedy Baseline 1","35","MCTS HP MOTFC 2","55","MCTS HP MOTFC 2"
"Greedy Baseline 1","45","MCTS HP MOTFC 2","54","MCTS HP MOTFC 2"
"Greedy Baseline 1","46","MCTS HP MOTFC 2","53","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","44","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","48","MCTS HP MOTFC 2"
"Greedy Baseline 1","44","MCTS HP MOTFC 2","45","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","53","MCTS HP MOTFC 2"
"Greedy Baseline 1","37","MCTS HP MOTFC 2","60","MCTS HP MOTFC 2"
"Greedy Baseline 1","42","MCTS HP MOTFC 2","53","MCTS HP MOTFC 2"
"Greedy Baseline 1","56","MCTS HP MOTFC 2","42","Greedy Baseline 1"
"Greedy Baseline 1","51","MCTS HP MOTFC 2","39","Greedy Baseline 1"
"Greedy Baseline 1","40","MCTS HP MOTFC 2","43","MCTS HP MOTFC 2"
"Greedy Baseline 1","44","MCTS HP MOTFC 2","49","MCTS HP MOTFC 2"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","51","MCTS HP MOTFC 2"
"Greedy Baseline 1","42","MCTS HP MOTFC 2","50","MCTS HP MOTFC 2"
"Greedy Baseline 1","55","MCTS HP MOTFC 2","42","Greedy Baseline 1"
"Greedy Baseline 1","34","MCTS HP MOTFC 2","58","MCTS HP MOTFC 2"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","44","MCTS HP MOTFC 2"
"Greedy Baseline 1","40","MCTS HP MOTFC 2","53","MCTS HP MOTFC 2"
"Greedy Baseline 1","45","MCTS HP MOTFC 2","46","MCTS HP MOTFC 2"
"Greedy Baseline 1","47","MCTS HP MOTFC 2","48","MCTS HP MOTFC 2"
"Greedy Baseline 1","40","MCTS HP MOTFC 2","46","MCTS HP MOTFC 2"
"Greedy Baseline 1","33","MCTS HP MOTFC 2","59","MCTS HP MOTFC 2"
"Greedy Baseline 1","46","MCTS HP MOTFC 2","41","Greedy Baseline 1"
"Greedy Baseline 1","38","MCTS HP MOTFC 2","51","MCTS HP MOTFC 2"
"Greedy Baseline 1","33","MCTS HP MOTFC 2","51","MCTS HP MOTFC 2"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","47","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","52","MCTS HP MOTFC 2"
"Greedy Baseline 1","34","MCTS HP MOTFC 2","56","MCTS HP MOTFC 2"
"Greedy Baseline 1","44","MCTS HP MOTFC 2","52","MCTS HP MOTFC 2"
"Greedy Baseline 1","35","MCTS HP MOTFC 2","50","MCTS HP MOTFC 2"
"Greedy Baseline 1","36","MCTS HP MOTFC 2","56","MCTS HP MOTFC 2"
"Greedy Baseline 1","37","MCTS HP MOTFC 2","61","MCTS HP MOTFC 2"
"Greedy Baseline 1","31","MCTS HP MOTFC 2","65","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","51","MCTS HP MOTFC 2"
"Greedy Baseline 1","37","MCTS HP MOTFC 2","53","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","45","MCTS HP MOTFC 2"
"Greedy Baseline 1","56","MCTS HP MOTFC 2","38","Greedy Baseline 1"
"Greedy Baseline 1","36","MCTS HP MOTFC 2","56","MCTS HP MOTFC 2"
"Greedy Baseline 1","47","MCTS HP MOTFC 2","51","MCTS HP MOTFC 2"
"Greedy Baseline 1","39","MCTS HP MOTFC 2","49","MCTS HP MOTFC 2"
"Greedy Baseline 1","51","MCTS HP MOTFC 2","48","Greedy Baseline 1"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","57","MCTS HP MOTFC 2"
"Greedy Baseline 1","39","MCTS HP MOTFC 2","57","MCTS HP MOTFC 2"
"Greedy Baseline 1","39","MCTS HP MOTFC 2","49","MCTS HP MOTFC 2"
"Greedy Baseline 1","48","MCTS HP MOTFC 2","43","Greedy Baseline 1"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","54","MCTS HP MOTFC 2"
"Greedy Baseline 1","44","MCTS HP MOTFC 2","47","MCTS HP MOTFC 2"
"Greedy Baseline 1","38","MCTS HP MOTFC 2","58","MCTS HP MOTFC 2"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","54","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","53","MCTS HP MOTFC 2"
"Greedy Baseline 1","42","MCTS HP MOTFC 2","47","MCTS HP MOTFC 2"
"Greedy Baseline 1","36","MCTS HP MOTFC 2","49","MCTS HP MOTFC 2"
"Greedy Baseline 1","45","MCTS HP MOTFC 2","52","MCTS HP MOTFC 2"
"Greedy Baseline 1","46","MCTS HP MOTFC 2","50","MCTS HP MOTFC 2"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","54","MCTS HP MOTFC 2"
"Greedy Baseline 1","42","MCTS HP MOTFC 2","52","MCTS HP MOTFC 2"
"Greedy Baseline 1","40","MCTS HP MOTFC 2","52","MCTS HP MOTFC 2"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","56","MCTS HP MOTFC 2"
"Greedy Baseline 1","30","MCTS HP MOTFC 2","58","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","53","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","55","MCTS HP MOTFC 2"
"Greedy Baseline 1","38","MCTS HP MOTFC 2","49","MCTS HP MOTFC 2"
"Greedy Baseline 1","56","MCTS HP MOTFC 2","39","Greedy Baseline 1"
"Greedy Baseline 1","40","MCTS HP MOTFC 2","56","MCTS HP MOTFC 2"
"Greedy Baseline 1","42","MCTS HP MOTFC 2","58","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","54","MCTS HP MOTFC 2"
"Greedy Baseline 1","36","MCTS HP MOTFC 2","52","MCTS HP MOTFC 2"
"Greedy Baseline 1","39","MCTS HP MOTFC 2","58","MCTS HP MOTFC 2"
"Greedy Baseline 1","44","MCTS HP MOTFC 2","51","MCTS HP MOTFC 2"
"Greedy Baseline 1","44","MCTS HP MOTFC 2","55","MCTS HP MOTFC 2"
"Greedy Baseline 1","42","MCTS HP MOTFC 2","46","MCTS HP MOTFC 2"
"Greedy Baseline 1","54","MCTS HP MOTFC 2","41","Greedy Baseline 1"
"Greedy Baseline 1","45","MCTS HP MOTFC 2","55","MCTS HP MOTFC 2"
"Greedy Baseline 1","42","MCTS HP MOTFC 2","54","MCTS HP MOTFC 2"
"Greedy Baseline 1","39","MCTS HP MOTFC 2","54","MCTS HP MOTFC 2"
"Greedy Baseline 1","42","MCTS HP MOTFC 2","57","MCTS HP MOTFC 2"
"Greedy Baseline 1","57","MCTS HP MOTFC 2","40","Greedy Baseline 1"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","55","MCTS HP MOTFC 2"
"Greedy Baseline 1","37","MCTS HP MOTFC 2","55","MCTS HP MOTFC 2"
"Greedy Baseline 1","39","MCTS HP MOTFC 2","56","MCTS HP MOTFC 2"
"Greedy Baseline 1","35","MCTS HP MOTFC 2","49","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","49","MCTS HP MOTFC 2"
"Greedy Baseline 1","51","MCTS HP MOTFC 2","44","Greedy Baseline 1"
"Greedy Baseline 1","40","MCTS HP MOTFC 2","47","MCTS HP MOTFC 2"
"Greedy Baseline 1","40","MCTS HP MOTFC 2","56","MCTS HP MOTFC 2"
"Greedy Baseline 1","35","MCTS HP MOTFC 2","56","MCTS HP MOTFC 2"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","51","MCTS HP MOTFC 2"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","55","MCTS HP MOTFC 2"
"Greedy Baseline 1","54","MCTS HP MOTFC 2","38","Greedy Baseline 1"
"Greedy Baseline 1","45","MCTS HP MOTFC 2","46","MCTS HP MOTFC 2"
"Greedy Baseline 1","40","MCTS HP MOTFC 2","53","MCTS HP MOTFC 2"
"Greedy Baseline 1","39","MCTS HP MOTFC 2","58","MCTS HP MOTFC 2"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","46","MCTS HP MOTFC 2"
"Greedy Baseline 1","37","MCTS HP MOTFC 2","63","MCTS HP MOTFC 2"
"Greedy Baseline 1","47","MCTS HP MOTFC 2","48","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","49","MCTS HP MOTFC 2"
"Greedy Baseline 1","40","MCTS HP MOTFC 2","53","MCTS HP MOTFC 2"
"Greedy Baseline 1","51","MCTS HP MOTFC 2","43","Greedy Baseline 1"
"Greedy Baseline 1","40","MCTS HP MOTFC 2","45","MCTS HP MOTFC 2"
"Greedy Baseline 1","34","MCTS HP MOTFC 2","51","MCTS HP MOTFC 2"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","53","MCTS HP MOTFC 2"
"Greedy Baseline 1","45","MCTS HP MOTFC 2","47","MCTS HP MOTFC 2"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","54","MCTS HP MOTFC 2"
"Greedy Baseline 1","39","MCTS HP MOTFC 2","49","MCTS HP MOTFC 2"
"Greedy Baseline 1","39","MCTS HP MOTFC 2","46","MCTS HP MOTFC 2"
"Greedy Baseline 1","40","MCTS HP MOTFC 2","53","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","54","MCTS HP MOTFC 2"
"Greedy Baseline 1","39","MCTS HP MOTFC 2","44","MCTS HP MOTFC 2"
"Greedy Baseline 1","46","MCTS HP MOTFC 2","52","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","58","MCTS HP MOTFC 2"
"Greedy Baseline 1","42","MCTS HP MOTFC 2","50","MCTS HP MOTFC 2"
"Greedy Baseline 1","52","MCTS HP MOTFC 2","42","Greedy Baseline 1"
"Greedy Baseline 1","33","MCTS HP MOTFC 2","58","MCTS HP MOTFC 2"
"Greedy Baseline 1","31","MCTS HP MOTFC 2","58","MCTS HP MOTFC 2"
"Greedy Baseline 1","39","MCTS HP MOTFC 2","55","MCTS HP MOTFC 2"
"Greedy Baseline 1","37","MCTS HP MOTFC 2","49","MCTS HP MOTFC 2"
"Greedy Baseline 1","48","MCTS HP MOTFC 2","41","Greedy Baseline 1"
"Greedy Baseline 1","34","MCTS HP MOTFC 2","59","MCTS HP MOTFC 2"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","50","MCTS HP MOTFC 2"
"Greedy Baseline 1","40","MCTS HP MOTFC 2","49","MCTS HP MOTFC 2"
"Greedy Baseline 1","37","MCTS HP MOTFC 2","55","MCTS HP MOTFC 2"
"Greedy Baseline 1","44","MCTS HP MOTFC 2","48","MCTS HP MOTFC 2"
"Greedy Baseline 1","53","MCTS HP MOTFC 2","43","Greedy Baseline 1"
"Greedy Baseline 1","42","MCTS HP MOTFC 2","50","MCTS HP MOTFC 2"
"Greedy Baseline 1","49","MCTS HP MOTFC 2","49","Tie"
"Greedy Baseline 1","37","MCTS HP MOTFC 2","48","MCTS HP MOTFC 2"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","53","MCTS HP MOTFC 2"
"Greedy Baseline 1","47","MCTS HP MOTFC 2","41","Greedy Baseline 1"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","51","MCTS HP MOTFC 2"
"Greedy Baseline 1","47","MCTS HP MOTFC 2","48","MCTS HP MOTFC 2"
"Greedy Baseline 1","44","MCTS HP MOTFC 2","47","MCTS HP MOTFC 2"
"Greedy Baseline 1","45","MCTS HP MOTFC 2","47","MCTS HP MOTFC 2"
"Greedy Baseline 1","40","MCTS HP MOTFC 2","54","MCTS HP MOTFC 2"
"Greedy Baseline 1","47","MCTS HP MOTFC 2","39","Greedy Baseline 1"
"Greedy Baseline 1","37","MCTS HP MOTFC 2","58","MCTS HP MOTFC 2"
"Greedy Baseline 1","37","MCTS HP MOTFC 2","49","MCTS HP MOTFC 2"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","55","MCTS HP MOTFC 2"
"Greedy Baseline 1","52","MCTS HP MOTFC 2","38","Greedy Baseline 1"
"Greedy Baseline 1","45","MCTS HP MOTFC 2","48","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","51","MCTS HP MOTFC 2"
"Greedy Baseline 1","47","MCTS HP MOTFC 2","42","Greedy Baseline 1"
"Greedy Baseline 1","40","MCTS HP MOTFC 2","56","MCTS HP MOTFC 2"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","53","MCTS HP MOTFC 2"
"Greedy Baseline 1","38","MCTS HP MOTFC 2","61","MCTS HP MOTFC 2"
"Greedy Baseline 1","39","MCTS HP MOTFC 2","52","MCTS HP MOTFC 2"
"Greedy Baseline 1","50","MCTS HP MOTFC 2","42","Greedy Baseline 1"
"Greedy Baseline 1","38","MCTS HP MOTFC 2","46","MCTS HP MOTFC 2"
"Greedy Baseline 1","37","MCTS HP MOTFC 2","57","MCTS HP MOTFC 2"
"Greedy Baseline 1","46","MCTS HP MOTFC 2","35","Greedy Baseline 1"
"Greedy Baseline 1","34","MCTS HP MOTFC 2","51","MCTS HP MOTFC 2"
"Greedy Baseline 1","42","MCTS HP MOTFC 2","50","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","50","MCTS HP MOTFC 2"
"Greedy Baseline 1","30","MCTS HP MOTFC 2","57","MCTS HP MOTFC 2"
"Greedy Baseline 1","44","MCTS HP MOTFC 2","47","MCTS HP MOTFC 2"
"Greedy Baseline 1","37","MCTS HP MOTFC 2","54","MCTS HP MOTFC 2"
"Greedy Baseline 1","40","MCTS HP MOTFC 2","42","MCTS HP MOTFC 2"
"Greedy Baseline 1","42","MCTS HP MOTFC 2","54","MCTS HP MOTFC 2"
"Greedy Baseline 1","33","MCTS HP MOTFC 2","60","MCTS HP MOTFC 2"
"Greedy Baseline 1","40","MCTS HP MOTFC 2","58","MCTS HP MOTFC 2"
"Greedy Baseline 1","37","MCTS HP MOTFC 2","52","MCTS HP MOTFC 2"
"Greedy Baseline 1","49","MCTS HP MOTFC 2","50","MCTS HP MOTFC 2"
"Greedy Baseline 1","38","MCTS HP MOTFC 2","49","MCTS HP MOTFC 2"
"Greedy Baseline 1","42","MCTS HP MOTFC 2","55","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","56","MCTS HP MOTFC 2"
"Greedy Baseline 1","44","MCTS HP MOTFC 2","54","MCTS HP MOTFC 2"
"Greedy Baseline 1","39","MCTS HP MOTFC 2","47","MCTS HP MOTFC 2"
"Greedy Baseline 1","37","MCTS HP MOTFC 2","61","MCTS HP MOTFC 2"
"Greedy Baseline 1","32","MCTS HP MOTFC 2","59","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","59","MCTS HP MOTFC 2"
"Greedy Baseline 1","37","MCTS HP MOTFC 2","53","MCTS HP MOTFC 2"
"Greedy Baseline 1","44","MCTS HP MOTFC 2","51","MCTS HP MOTFC 2"
"Greedy Baseline 1","43","MCTS HP MOTFC 2","53","MCTS HP MOTFC 2"
"Greedy Baseline 1","45","MCTS HP MOTFC 2","48","MCTS HP MOTFC 2"
"Greedy Baseline 1","40","MCTS HP MOTFC 2","50","MCTS HP MOTFC 2"
"Greedy Baseline 1","35","MCTS HP MOTFC 2","61","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","52","MCTS HP MOTFC 2"
"Greedy Baseline 1","40","MCTS HP MOTFC 2","53","MCTS HP MOTFC 2"
"Greedy Baseline 1","39","MCTS HP MOTFC 2","54","MCTS HP MOTFC 2"
"Greedy Baseline 1","51","MCTS HP MOTFC 2","37","Greedy Baseline 1"
"Greedy Baseline 1","44","MCTS HP MOTFC 2","51","MCTS HP MOTFC 2"
"Greedy Baseline 1","53","MCTS HP MOTFC 2","38","Greedy Baseline 1"
"Greedy Baseline 1","51","MCTS HP MOTFC 2","37","Greedy Baseline 1"
"Greedy Baseline 1","37","MCTS HP MOTFC 2","55","MCTS HP MOTFC 2"
"Greedy Baseline 1","30","MCTS HP MOTFC 2","64","MCTS HP MOTFC 2"
"Greedy Baseline 1","45","MCTS HP MOTFC 2","50","MCTS HP MOTFC 2"
"Greedy Baseline 1","38","MCTS HP MOTFC 2","58","MCTS HP MOTFC 2"
"Greedy Baseline 1","40","MCTS HP MOTFC 2","46","MCTS HP MOTFC 2"
"Greedy Baseline 1","42","MCTS HP MOTFC 2","50","MCTS HP MOTFC 2"
"Greedy Baseline 1","39","MCTS HP MOTFC 2","59","MCTS HP MOTFC 2"
"Greedy Baseline 1","45","MCTS HP MOTFC 2","46","MCTS HP MOTFC 2"
"Greedy Baseline 1","45","MCTS HP MOTFC 2","51","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","45","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","52","MCTS HP MOTFC 2"
"Greedy Baseline 1","37","MCTS HP MOTFC 2","47","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","56","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","52","MCTS HP MOTFC 2"
"Greedy Baseline 1","45","MCTS HP MOTFC 2","55","MCTS HP MOTFC 2"
"Greedy Baseline 1","35","MCTS HP MOTFC 2","48","MCTS HP MOTFC 2"
"Greedy Baseline 1","46","MCTS HP MOTFC 2","51","MCTS HP MOTFC 2"
"Greedy Baseline 1","41","MCTS HP MOTFC 2","51","MCTS HP MOTFC 2"
"Greedy Baseline 1","47","MCTS HP MOTFC 2","48","MCTS HP MOTFC 2"
