"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"MCTS LP Baseline (1)","51","Greedy","47","MCTS LP Baseline (1)"
"MCTS LP Baseline (1)","55","Greedy","43","MCTS LP Baseline (1)"
"MCTS LP Baseline (1)","51","Greedy","40","MCTS LP Baseline (1)"
"MCTS LP Baseline (1)","60","Greedy","36","MCTS LP Baseline (1)"
"MCTS LP Baseline (1)","62","Greedy","29","MCTS LP Baseline (1)"
"MCTS LP Baseline (1)","51","Greedy","45","MCTS LP Baseline (1)"
"MCTS LP Baseline (1)","47","Greedy","37","MCTS LP Baseline (1)"
"MCTS LP Baseline (1)","45","Greedy","37","MCTS LP Baseline (1)"
"MCTS LP Baseline (1)","60","Greedy","32","MCTS LP Baseline (1)"
"MCTS LP Baseline (1)","58","Greedy","23","MCTS LP Baseline (1)"
"MCTS LP Baseline (1)","53","Greedy","43","MCTS LP Baseline (1)"
"MCTS LP Baseline (1)","58","Greedy","37","MCTS LP Baseline (1)"
"MCTS LP Baseline (1)","49","Greedy","37","MCTS LP Baseline (1)"
"MCTS LP Baseline (1)","52","Greedy","37","MCTS LP Baseline (1)"
"MCTS LP Baseline (1)","55","Greedy","39","MCTS LP Baseline (1)"
"MCTS LP Baseline (1)","58","Greedy","40","MCTS LP Baseline (1)"
"MCTS LP Baseline (1)","56","Greedy","35","MCTS LP Baseline (1)"
"MCTS LP Baseline (1)","49","Greedy","41","MCTS LP Baseline (1)"
"MCTS LP Baseline (1)","53","Greedy","42","MCTS LP Baseline (1)"
"MCTS LP Baseline (1)","54","Greedy","38","MCTS LP Baseline (1)"
"MCTS LP Baseline (1)","48","Greedy","45","MCTS LP Baseline (1)"
"MCTS LP Baseline (1)","48","Greedy","43","MCTS LP Baseline (1)"
"MCTS LP Baseline (1)","60","Greedy","30","MCTS LP Baseline (1)"
"MCTS LP Baseline (1)","37","Greedy","31","MCTS LP Baseline (1)"
"MCTS LP Baseline (1)","50","Greedy","36","MCTS LP Baseline (1)"
"MCTS LP Baseline (1)","54","Greedy","36","MCTS LP Baseline (1)"
"MCTS LP Baseline (1)","55","Greedy","41","MCTS LP Baseline (1)"
