"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"MCTS Max Fish Per Tile For All Penguins Placement","57","Greedy","36","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","50","Greedy","39","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","50","Greedy","35","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","62","Greedy","35","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","60","Greedy","37","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","60","Greedy","38","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","54","Greedy","43","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","54","Greedy","31","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","47","Greedy","43","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","53","Greedy","42","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","66","Greedy","33","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","56","Greedy","37","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","49","Greedy","43","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","64","Greedy","36","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","52","Greedy","42","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","57","Greedy","39","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","50","Greedy","46","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","61","Greedy","35","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","46","Greedy","38","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","58","Greedy","40","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","59","Greedy","33","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","42","Greedy","40","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","53","Greedy","46","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","56","Greedy","38","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","57","Greedy","42","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","43","Greedy","36","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","51","Greedy","38","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","50","Greedy","41","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","45","Greedy","37","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","49","Greedy","38","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","48","Greedy","44","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","50","Greedy","37","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","54","Greedy","37","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","48","Greedy","44","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","49","Greedy","38","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","53","Greedy","35","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","51","Greedy","42","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","60","Greedy","38","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","63","Greedy","35","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","52","Greedy","39","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","51","Greedy","38","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","58","Greedy","33","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","44","Greedy","25","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","55","Greedy","35","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","60","Greedy","36","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","45","Greedy","35","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","43","Greedy","37","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","55","Greedy","40","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","59","Greedy","37","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","49","Greedy","43","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","58","Greedy","39","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","52","Greedy","36","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","55","Greedy","40","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","55","Greedy","37","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","35","Greedy","30","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","47","Greedy","37","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","53","Greedy","42","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","60","Greedy","38","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","63","Greedy","34","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","49","Greedy","32","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","49","Greedy","37","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","55","Greedy","44","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","52","Greedy","40","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","51","Greedy","41","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","55","Greedy","36","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","46","Greedy","38","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","54","Greedy","41","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","60","Greedy","34","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","55","Greedy","45","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","58","Greedy","38","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","54","Greedy","41","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","54","Greedy","40","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","66","Greedy","26","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","50","Greedy","45","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","56","Greedy","43","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","57","Greedy","40","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","45","Greedy","41","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","70","Greedy","30","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","58","Greedy","35","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","47","Greedy","38","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","56","Greedy","38","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","54","Greedy","37","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","54","Greedy","40","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","56","Greedy","42","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","53","Greedy","38","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","50","Greedy","41","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","56","Greedy","41","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","47","Greedy","42","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","53","Greedy","41","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","58","Greedy","39","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","57","Greedy","35","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","62","Greedy","33","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","61","Greedy","33","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","53","Greedy","42","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","60","Greedy","40","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","54","Greedy","44","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","48","Greedy","41","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","51","Greedy","46","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","51","Greedy","34","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","55","Greedy","33","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","51","Greedy","42","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","63","Greedy","36","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","58","Greedy","35","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","51","Greedy","43","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","71","Greedy","26","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","57","Greedy","39","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","57","Greedy","39","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","56","Greedy","33","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","57","Greedy","42","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","55","Greedy","31","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","46","Greedy","40","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","51","Greedy","41","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","51","Greedy","40","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","60","Greedy","38","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","53","Greedy","43","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","49","Greedy","35","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","43","Greedy","39","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","46","Greedy","41","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","52","Greedy","40","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","46","Greedy","40","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","62","Greedy","28","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","56","Greedy","39","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","48","Greedy","46","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","46","Greedy","36","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","50","Greedy","42","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","50","Greedy","44","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","48","Greedy","42","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","55","Greedy","40","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","54","Greedy","30","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","60","Greedy","38","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","51","Greedy","42","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","49","Greedy","43","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","49","Greedy","38","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","54","Greedy","41","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","52","Greedy","45","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","54","Greedy","39","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","61","Greedy","28","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","60","Greedy","39","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","52","Greedy","39","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","61","Greedy","32","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","50","Greedy","41","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","55","Greedy","40","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","48","Greedy","46","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","54","Greedy","36","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","48","Greedy","39","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","56","Greedy","42","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","51","Greedy","44","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","52","Greedy","35","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","52","Greedy","45","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","52","Greedy","41","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","53","Greedy","42","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","56","Greedy","34","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","57","Greedy","40","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","49","Greedy","44","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","50","Greedy","35","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","50","Greedy","42","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","47","Greedy","37","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","47","Greedy","45","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","55","Greedy","39","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","53","Greedy","44","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","71","Greedy","28","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","54","Greedy","43","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","46","Greedy","36","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","62","Greedy","31","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","54","Greedy","35","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","39","Greedy","32","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","57","Greedy","39","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","56","Greedy","40","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","62","Greedy","35","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","51","Greedy","36","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","55","Greedy","36","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","61","Greedy","35","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","57","Greedy","40","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","52","Greedy","43","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","57","Greedy","27","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","48","Greedy","39","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","69","Greedy","30","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","49","Greedy","44","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","49","Greedy","49","Tie"
"MCTS Max Fish Per Tile For All Penguins Placement","49","Greedy","43","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","57","Greedy","36","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","47","Greedy","31","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","46","Greedy","39","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","50","Greedy","39","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","58","Greedy","31","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","53","Greedy","37","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","60","Greedy","38","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","55","Greedy","30","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","48","Greedy","41","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","48","Greedy","45","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","51","Greedy","41","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","36","Greedy","29","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","60","Greedy","37","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","48","Greedy","43","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","53","Greedy","40","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","54","Greedy","44","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","57","Greedy","38","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","55","Greedy","31","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","52","Greedy","36","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","52","Greedy","41","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","46","Greedy","43","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","51","Greedy","43","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","57","Greedy","37","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","51","Greedy","45","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","60","Greedy","36","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","54","Greedy","41","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","39","Greedy","32","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","51","Greedy","42","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","54","Greedy","34","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","55","Greedy","37","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","50","Greedy","48","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","55","Greedy","41","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","53","Greedy","41","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","46","Greedy","40","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","57","Greedy","39","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","52","Greedy","44","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","55","Greedy","43","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","57","Greedy","35","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","54","Greedy","35","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","53","Greedy","46","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","58","Greedy","41","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","51","Greedy","42","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","50","Greedy","38","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","38","Greedy","47","Greedy"
"MCTS Max Fish Per Tile For All Penguins Placement","43","Greedy","30","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","50","Greedy","41","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","38","Greedy","33","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","59","Greedy","39","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","41","Greedy","38","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","53","Greedy","35","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","48","Greedy","31","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","63","Greedy","29","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","60","Greedy","33","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","54","Greedy","37","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","53","Greedy","38","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","52","Greedy","45","MCTS Max Fish Per Tile For All Penguins Placement"
"MCTS Max Fish Per Tile For All Penguins Placement","53","Greedy","39","MCTS Max Fish Per Tile For All Penguins Placement"
