"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"MCTS Max Tiles For Penguin Placement","47","MCTS LP Baseline (2)","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","MCTS LP Baseline (2)","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","MCTS LP Baseline (2)","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","34","MCTS LP Baseline (2)","48","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","45","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","36","MCTS LP Baseline (2)","48","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","49","MCTS LP Baseline (2)","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","MCTS LP Baseline (2)","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","40","MCTS LP Baseline (2)","57","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","49","MCTS LP Baseline (2)","48","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","46","MCTS LP Baseline (2)","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","48","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","55","MCTS LP Baseline (2)","44","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","45","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","44","MCTS LP Baseline (2)","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","MCTS LP Baseline (2)","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","MCTS LP Baseline (2)","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","MCTS LP Baseline (2)","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","42","MCTS LP Baseline (2)","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","MCTS LP Baseline (2)","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","43","MCTS LP Baseline (2)","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","MCTS LP Baseline (2)","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","44","MCTS LP Baseline (2)","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","56","MCTS LP Baseline (2)","35","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","MCTS LP Baseline (2)","44","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","46","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","52","MCTS LP Baseline (2)","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","40","MCTS LP Baseline (2)","43","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","37","MCTS LP Baseline (2)","55","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","46","MCTS LP Baseline (2)","47","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","51","MCTS LP Baseline (2)","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","38","MCTS LP Baseline (2)","50","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","45","MCTS LP Baseline (2)","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","45","MCTS LP Baseline (2)","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","67","MCTS LP Baseline (2)","32","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","46","MCTS LP Baseline (2)","52","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","48","MCTS LP Baseline (2)","47","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","36","MCTS LP Baseline (2)","54","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","46","MCTS LP Baseline (2)","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","57","MCTS LP Baseline (2)","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","42","MCTS LP Baseline (2)","53","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","44","MCTS LP Baseline (2)","52","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","44","MCTS LP Baseline (2)","56","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","58","MCTS LP Baseline (2)","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","48","MCTS LP Baseline (2)","46","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","54","MCTS LP Baseline (2)","44","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","MCTS LP Baseline (2)","49","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","MCTS LP Baseline (2)","47","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","MCTS LP Baseline (2)","33","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","41","MCTS LP Baseline (2)","46","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","48","MCTS LP Baseline (2)","47","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","MCTS LP Baseline (2)","48","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","MCTS LP Baseline (2)","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","44","MCTS LP Baseline (2)","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","MCTS LP Baseline (2)","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","44","MCTS LP Baseline (2)","54","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","44","MCTS LP Baseline (2)","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","39","MCTS LP Baseline (2)","42","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","44","MCTS LP Baseline (2)","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","54","MCTS LP Baseline (2)","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","46","MCTS LP Baseline (2)","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","54","MCTS LP Baseline (2)","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","MCTS LP Baseline (2)","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","42","MCTS LP Baseline (2)","52","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","39","MCTS LP Baseline (2)","45","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","52","MCTS LP Baseline (2)","35","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","33","MCTS LP Baseline (2)","42","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","47","MCTS LP Baseline (2)","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","57","MCTS LP Baseline (2)","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","42","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","57","MCTS LP Baseline (2)","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","39","MCTS LP Baseline (2)","59","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","39","MCTS LP Baseline (2)","46","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","41","MCTS LP Baseline (2)","44","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","57","MCTS LP Baseline (2)","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","48","MCTS LP Baseline (2)","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","38","MCTS LP Baseline (2)","45","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","35","MCTS LP Baseline (2)","56","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","50","MCTS LP Baseline (2)","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","MCTS LP Baseline (2)","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","MCTS LP Baseline (2)","35","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","48","MCTS LP Baseline (2)","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","MCTS LP Baseline (2)","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","44","MCTS LP Baseline (2)","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","45","MCTS LP Baseline (2)","44","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","54","MCTS LP Baseline (2)","34","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","44","MCTS LP Baseline (2)","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","MCTS LP Baseline (2)","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","47","MCTS LP Baseline (2)","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","47","MCTS LP Baseline (2)","50","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","32","MCTS LP Baseline (2)","57","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","54","MCTS LP Baseline (2)","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","43","MCTS LP Baseline (2)","45","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","57","MCTS LP Baseline (2)","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","MCTS LP Baseline (2)","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","48","MCTS LP Baseline (2)","50","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","56","MCTS LP Baseline (2)","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","54","MCTS LP Baseline (2)","35","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","48","MCTS LP Baseline (2)","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","37","MCTS LP Baseline (2)","52","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","48","MCTS LP Baseline (2)","44","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","44","MCTS LP Baseline (2)","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","35","MCTS LP Baseline (2)","57","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","39","MCTS LP Baseline (2)","54","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","47","MCTS LP Baseline (2)","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","44","MCTS LP Baseline (2)","46","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","46","MCTS LP Baseline (2)","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","44","MCTS LP Baseline (2)","46","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","47","MCTS LP Baseline (2)","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","34","MCTS LP Baseline (2)","32","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","MCTS LP Baseline (2)","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","38","MCTS LP Baseline (2)","62","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","44","MCTS LP Baseline (2)","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","MCTS LP Baseline (2)","33","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","42","MCTS LP Baseline (2)","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","MCTS LP Baseline (2)","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","MCTS LP Baseline (2)","47","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","38","MCTS LP Baseline (2)","60","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","40","MCTS LP Baseline (2)","48","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","42","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","41","MCTS LP Baseline (2)","47","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","35","MCTS LP Baseline (2)","56","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","51","MCTS LP Baseline (2)","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","34","MCTS LP Baseline (2)","55","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","39","MCTS LP Baseline (2)","45","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","53","MCTS LP Baseline (2)","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","39","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","53","MCTS LP Baseline (2)","35","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","43","MCTS LP Baseline (2)","44","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","39","MCTS LP Baseline (2)","41","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","43","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","47","MCTS LP Baseline (2)","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","42","MCTS LP Baseline (2)","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","39","MCTS LP Baseline (2)","50","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","37","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","54","MCTS LP Baseline (2)","28","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","48","MCTS LP Baseline (2)","48","Tie"
"MCTS Max Tiles For Penguin Placement","45","MCTS LP Baseline (2)","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","MCTS LP Baseline (2)","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","39","MCTS LP Baseline (2)","50","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","46","MCTS LP Baseline (2)","44","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","41","MCTS LP Baseline (2)","48","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","40","MCTS LP Baseline (2)","50","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","36","MCTS LP Baseline (2)","43","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","45","MCTS LP Baseline (2)","48","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","53","MCTS LP Baseline (2)","45","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","31","MCTS LP Baseline (2)","56","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","39","MCTS LP Baseline (2)","45","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","56","MCTS LP Baseline (2)","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","43","MCTS LP Baseline (2)","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","MCTS LP Baseline (2)","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","MCTS LP Baseline (2)","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","MCTS LP Baseline (2)","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","40","MCTS LP Baseline (2)","52","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","35","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","53","MCTS LP Baseline (2)","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","35","MCTS LP Baseline (2)","45","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","50","MCTS LP Baseline (2)","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","48","MCTS LP Baseline (2)","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","MCTS LP Baseline (2)","45","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","MCTS LP Baseline (2)","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","MCTS LP Baseline (2)","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","42","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","43","MCTS LP Baseline (2)","55","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","39","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","38","MCTS LP Baseline (2)","50","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","50","MCTS LP Baseline (2)","45","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","35","MCTS LP Baseline (2)","63","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","50","MCTS LP Baseline (2)","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","38","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","45","MCTS LP Baseline (2)","52","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","60","MCTS LP Baseline (2)","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","47","MCTS LP Baseline (2)","50","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","42","MCTS LP Baseline (2)","45","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","46","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","55","MCTS LP Baseline (2)","29","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","43","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","37","MCTS LP Baseline (2)","52","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","36","MCTS LP Baseline (2)","61","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","44","MCTS LP Baseline (2)","54","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","46","MCTS LP Baseline (2)","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","MCTS LP Baseline (2)","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","35","MCTS LP Baseline (2)","54","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","50","MCTS LP Baseline (2)","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","42","MCTS LP Baseline (2)","47","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","47","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","57","MCTS LP Baseline (2)","35","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","56","MCTS LP Baseline (2)","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","44","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","45","MCTS LP Baseline (2)","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","46","MCTS LP Baseline (2)","47","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","49","MCTS LP Baseline (2)","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","MCTS LP Baseline (2)","34","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","37","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","46","MCTS LP Baseline (2)","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","36","MCTS LP Baseline (2)","58","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","53","MCTS LP Baseline (2)","28","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","45","MCTS LP Baseline (2)","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","47","MCTS LP Baseline (2)","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","59","MCTS LP Baseline (2)","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","36","MCTS LP Baseline (2)","56","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","42","MCTS LP Baseline (2)","52","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","43","MCTS LP Baseline (2)","54","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","38","MCTS LP Baseline (2)","47","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","46","MCTS LP Baseline (2)","50","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","43","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","47","MCTS LP Baseline (2)","34","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","46","MCTS LP Baseline (2)","34","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","43","MCTS LP Baseline (2)","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","MCTS LP Baseline (2)","45","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","MCTS LP Baseline (2)","47","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","MCTS LP Baseline (2)","44","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","MCTS LP Baseline (2)","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","42","MCTS LP Baseline (2)","47","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","42","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","38","MCTS LP Baseline (2)","48","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","50","MCTS LP Baseline (2)","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","44","MCTS LP Baseline (2)","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","MCTS LP Baseline (2)","45","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","39","MCTS LP Baseline (2)","49","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","44","MCTS LP Baseline (2)","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","MCTS LP Baseline (2)","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","MCTS LP Baseline (2)","44","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","45","MCTS LP Baseline (2)","50","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","46","MCTS LP Baseline (2)","50","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","49","MCTS LP Baseline (2)","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","54","MCTS LP Baseline (2)","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","46","MCTS LP Baseline (2)","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","44","MCTS LP Baseline (2)","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","30","MCTS LP Baseline (2)","54","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","35","MCTS LP Baseline (2)","50","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","50","MCTS LP Baseline (2)","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","35","MCTS LP Baseline (2)","43","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","49","MCTS LP Baseline (2)","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","MCTS LP Baseline (2)","46","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","MCTS LP Baseline (2)","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","38","MCTS LP Baseline (2)","53","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","47","MCTS LP Baseline (2)","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","MCTS LP Baseline (2)","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","44","MCTS LP Baseline (2)","46","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","35","MCTS LP Baseline (2)","55","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","54","MCTS LP Baseline (2)","35","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","46","MCTS LP Baseline (2)","50","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","54","MCTS LP Baseline (2)","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","40","MCTS LP Baseline (2)","51","MCTS LP Baseline (2)"
"MCTS Max Tiles For Penguin Placement","48","MCTS LP Baseline (2)","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","MCTS LP Baseline (2)","45","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","MCTS LP Baseline (2)","35","MCTS Max Tiles For Penguin Placement"
