"AI 1 Name","AI 1 Fish Count","AI 2 Name","AI 2 Fish Count","Winner"
"MCTS Max Tiles For Penguin Placement","51","Greedy","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","58","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","Greedy","31","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","Greedy","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","48","Greedy","30","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","Greedy","45","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","58","Greedy","34","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","48","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","48","Greedy","45","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","46","Greedy","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","Greedy","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","45","Greedy","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","44","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","56","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","47","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","68","Greedy","31","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","58","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","58","Greedy","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","Greedy","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","61","Greedy","34","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","56","Greedy","33","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","48","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","54","Greedy","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","Greedy","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","58","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","47","Greedy","45","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","47","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","58","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","45","Greedy","33","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","48","Greedy","45","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","59","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","Greedy","35","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","41","Greedy","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","Greedy","44","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","45","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","Greedy","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","58","Greedy","35","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","47","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","Greedy","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","48","Greedy","44","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","46","Greedy","33","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","38","Greedy","50","Greedy"
"MCTS Max Tiles For Penguin Placement","48","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","Greedy","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","Greedy","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","54","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","59","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","Greedy","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","54","Greedy","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","47","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","56","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","56","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","47","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","62","Greedy","35","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","Greedy","45","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","58","Greedy","33","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","59","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","47","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","57","Greedy","35","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","56","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","54","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","61","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","42","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","Greedy","44","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","54","Greedy","34","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","59","Greedy","34","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","40","Greedy","30","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","Greedy","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","50","Greedy","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","43","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","48","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","58","Greedy","32","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","Greedy","49","Tie"
"MCTS Max Tiles For Penguin Placement","64","Greedy","34","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","54","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","66","Greedy","19","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","48","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","51","Greedy","42","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","60","Greedy","35","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","62","Greedy","34","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","49","Greedy","39","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","53","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","42","Greedy","52","Greedy"
"MCTS Max Tiles For Penguin Placement","53","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","61","Greedy","37","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","44","Greedy","33","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","Greedy","40","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","35","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","55","Greedy","44","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","56","Greedy","41","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","60","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","46","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","54","Greedy","38","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","57","Greedy","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","52","Greedy","44","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","61","Greedy","36","MCTS Max Tiles For Penguin Placement"
"MCTS Max Tiles For Penguin Placement","56","Greedy","32","MCTS Max Tiles For Penguin Placement"
